lon,lat,dep,rate
181.0932,-35.3424,0.3354,0.0002541838
180.9903,-35.2982,0.3401,0.0002434059
180.8882,-35.2565,0.3460,0.0002280186
180.7874,-35.2180,0.3545,0.0002096391
180.6879,-35.1830,0.3655,0.0001901521
180.5902,-35.1509,0.3804,0.0001711611
180.4940,-35.1209,0.3998,0.0001535425
180.3999,-35.0915,0.4248,0.0001377639
180.3079,-35.0615,0.4561,0.0001241471
180.2181,-35.0305,0.4935,0.0001131935
180.1305,-34.9984,0.5369,0.0001052717
180.0451,-34.9657,0.5850,0.0001003238
179.9617,-34.9327,0.6370,0.0000976610
179.8804,-34.9000,0.6921,0.0000963076
179.8011,-34.8677,0.7497,0.0000953569
179.7236,-34.8359,0.8093,0.0000944464
179.6482,-34.8047,0.8710,0.0000938539
179.5747,-34.7740,0.9344,0.0000943757
181.0328,-35.4284,0.3352,0.0002552561
180.9304,-35.3841,0.3394,0.0002432181
180.8295,-35.3422,0.3449,0.0002274029
180.7300,-35.3037,0.3524,0.0002094422
180.6323,-35.2687,0.3623,0.0001910762
180.5366,-35.2368,0.3760,0.0001735695
180.4424,-35.2070,0.3940,0.0001575125
180.3503,-35.1778,0.4177,0.0001433591
180.2598,-35.1480,0.4479,0.0001315443
180.1713,-35.1171,0.4845,0.0001227654
180.0846,-35.0852,0.5272,0.0001174436
179.9998,-35.0525,0.5749,0.0001153178
179.9169,-35.0197,0.6266,0.0001154371
179.8359,-34.9872,0.6813,0.0001164666
179.7567,-34.9552,0.7383,0.0001173105
179.6797,-34.9239,0.7976,0.0001175587
179.6044,-34.8932,0.8586,0.0001176785
179.5312,-34.8630,0.9217,0.0001186716
179.4604,-34.8332,0.9872,0.0001216981
179.3907,-34.8039,1.0539,0.0001279071
179.3230,-34.7749,1.1227,0.0001373813
179.2570,-34.7463,1.1930,0.0001496714
179.1920,-34.7180,1.2645,0.0001638086
179.1288,-34.6901,1.3373,0.0001780763
179.0666,-34.6625,1.4109,0.0001912279
179.0054,-34.6352,1.4852,0.0002020902
178.9455,-34.6082,1.5602,0.0002098899
178.8865,-34.5815,1.6356,0.0002145454
178.8284,-34.5551,1.7112,0.0002162703
178.7714,-34.5290,1.7869,0.0002155341
178.7151,-34.5033,1.8624,0.0002130523
178.6597,-34.4778,1.9374,0.0002093662
178.6053,-34.4527,2.0117,0.0002051064
178.5518,-34.4279,2.0848,0.0002007075
180.9708,-35.5150,0.3357,0.0002508331
180.8688,-35.4710,0.3400,0.0002382785
180.7686,-35.4294,0.3460,0.0002228707
180.6702,-35.3912,0.3538,0.0002061635
180.5742,-35.3561,0.3643,0.0001896158
180.4806,-35.3239,0.3783,0.0001741325
180.3891,-35.2934,0.3967,0.0001601632
180.2999,-35.2633,0.4207,0.0001482034
180.2119,-35.2327,0.4510,0.0001388828
180.1256,-35.2011,0.4876,0.0001330540
180.0407,-35.1687,0.5299,0.0001311148
179.9571,-35.1360,0.5772,0.0001326404
179.8753,-35.1032,0.6282,0.0001362080
