lon,lat,dep,rate
165.0021,-49.0117,1.0870,0.0000023495
165.0664,-49.0477,1.1643,0.0000020443
165.1291,-49.0827,1.2338,0.0000017501
165.1903,-49.1168,1.2960,0.0000014792
164.1553,-48.3933,0.2037,0.0000018300
164.2500,-48.4493,0.2354,0.0000025649
164.3298,-48.4999,0.2720,0.0000032627
164.4048,-48.5469,0.3209,0.0000039868
164.4769,-48.5906,0.3817,0.0000047227
164.5462,-48.6314,0.4519,0.0000054146
164.6132,-48.6699,0.5283,0.0000060078
164.6786,-48.7068,0.6090,0.0000064530
164.7435,-48.7431,0.6922,0.0000067064
164.8090,-48.7792,0.7770,0.0000067553
164.8759,-48.8159,0.8623,0.0000065773
164.9436,-48.8531,0.9464,0.0000061836
165.0101,-48.8901,1.0288,0.0000056244
165.0745,-48.9262,1.1112,0.0000049872
165.1370,-48.9613,1.1931,0.0000043378
165.1981,-48.9953,1.2685,0.0000037229
165.2578,-49.0286,1.3327,0.0000031550
164.2519,-48.3198,0.2153,0.0000046982
164.3393,-48.3736,0.2460,0.0000062367
164.4166,-48.4230,0.2858,0.0000077273
164.4907,-48.4690,0.3383,0.0000092691
164.5620,-48.5119,0.4021,0.0000107679
164.6306,-48.5520,0.4742,0.0000121076
164.6970,-48.5900,0.5517,0.0000131757
164.7620,-48.6267,0.6328,0.0000138816
164.8267,-48.6628,0.7161,0.0000141758
164.8918,-48.6988,0.8006,0.0000140294
164.9577,-48.7352,0.8853,0.0000134374
165.0235,-48.7716,0.9689,0.0000124737
165.0878,-48.8076,1.0518,0.0000112527
165.1503,-48.8427,1.1354,0.0000099352
165.2112,-48.8768,1.2203,0.0000086309
165.2708,-48.9100,1.3021,0.0000074026
164.3452,-48.2453,0.2243,0.0000110609
164.4269,-48.2972,0.2556,0.0000140844
164.5030,-48.3456,0.2987,0.0000171253
164.5762,-48.3908,0.3546,0.0000201492
164.6468,-48.4330,0.4208,0.0000229543
164.7148,-48.4725,0.4945,0.0000253088
164.7808,-48.5102,0.5730,0.0000270015
164.8456,-48.5467,0.6545,0.0000279157
164.9100,-48.5827,0.7378,0.0000279741
164.9746,-48.6185,0.8221,0.0000272001
165.0394,-48.6544,0.9064,0.0000256510
165.1034,-48.6902,0.9901,0.0000234918
165.1659,-48.7252,1.0738,0.0000210268
165.2270,-48.7595,1.1585,0.0000184596
165.2866,-48.7929,1.2444,0.0000159701
165.3449,-48.8255,1.3282,0.0000136538
164.3442,-48.1142,0.2063,0.0000176412
164.4348,-48.1696,0.2317,0.0000236399
164.5136,-48.2204,0.2654,0.0000293249
164.5887,-48.2679,0.3121,0.0000350239
164.6613,-48.3123,0.3710,0.0000404749
164.7312,-48.3537,0.4396,0.0000452281
164.7987,-48.3928,0.5146,0.0000488627
164.8644,-48.4302,0.5938,0.0000511093
164.9290,-48.4666,0.6756,0.0000518014
164.9931,-48.5025,0.7589,0.0000509193
165.0570,-48.5381,0.8431,0.0000486064
165.1206,-48.5736,0.9273,0.0000450949
165.1832,-48.6086,1.0113,0.0000408123
165.2444,-48.6430,1.0958,0.0000361609
165.3043,-48.6766,1.1813,0.0000315146
165.3628,-48.7094,1.2676,0.0000271015
164.4381,-48.0399,0.2131,0.0000355853
164.5225,-48.0933,0.2388,0.0000458157
164.5997,-48.1431,0.2758,0.0000557810
164.6740,-48.1898,0.3260,0.0000654682
164.7459,-48.2334,0.3879,0.0000742445
164.8152,-48.2742,0.4584,0.0000813091
164.8823,-48.3129,0.5346,0.0000860639
164.9477,-48.3501,0.6144,0.0000881698
165.0120,-48.3864,0.6964,0.0000875395
165.0757,-48.4221,0.7798,0.0000843857
165.1389,-48.4575,0.8638,0.0000790631
165.2014,-48.4925,0.9480,0.0000721937
165.2629,-48.5270,1.0324,0.0000644528
165.3232,-48.5609,1.1175,0.0000564642
165.3821,-48.5940,1.2034,0.0000487398
165.4398,-48.6263,1.2899,0.0000415789
164.4351,-47.9075,0.1983,0.0000470529
164.5277,-47.9641,0.2185,0.0000637721
164.6086,-48.0162,0.2464,0.0000800271
164.6848,-48.0652,0.2870,0.0000958461
164.7584,-48.1111,0.3406,0.0001105407
164.8297,-48.1539,0.4051,0.0001229872
164.8986,-48.1943,0.4772,0.0001319308
164.9653,-48.2327,0.5543,0.0001366915
165.0305,-48.2698,0.6345,0.0001370600
165.0947,-48.3060,0.7166,0.0001332647
165.1580,-48.3416,0.7998,0.0001258531
165.2206,-48.3767,0.8836,0.0001157357
165.2823,-48.4114,0.9678,0.0001038945
165.3430,-48.4455,1.0524,0.0000913935
165.4024,-48.4789,1.1377,0.0000790696
165.4604,-48.5116,1.2238,0.0000674915
165.5171,-48.5435,1.3107,0.0000570143
164.5274,-47.8323,0.2037,0.0000776941
164.6144,-47.8872,0.2241,0.0001017634
164.6934,-47.9384,0.2550,0.0001253403
164.7688,-47.9866,0.2991,0.0001476859
164.8421,-48.0318,0.3559,0.0001673735
164.9131,-48.0741,0.4226,0.0001824995
164.9817,-48.1141,0.4960,0.0001916042
165.0484,-48.1524,0.5737,0.0001941615
165.1136,-48.1895,0.6539,0.0001903354
165.1777,-48.2258,0.7358,0.0001809136
165.2408,-48.2614,0.8185,0.0001671964
165.3029,-48.2964,0.9020,0.0001506827
165.3640,-48.3308,0.9860,0.0001328662
165.4238,-48.3645,1.0706,0.0001150597
165.4822,-48.3975,1.1559,0.0000981871
165.5392,-48.4296,1.2423,0.0000828645
165.5948,-48.4609,1.3293,0.0000693215
164.5206,-47.6980,0.1922,0.0000821366
164.6153,-47.7557,0.2083,0.0001132848
164.6992,-47.8093,0.2310,0.0001449980
164.7772,-47.8599,0.2654,0.0001756703
164.8524,-47.9075,0.3130,0.0002035909
164.9256,-47.9522,0.3725,0.0002262869
164.9966,-47.9943,0.4408,0.0002413738
165.0654,-48.0342,0.5149,0.0002475974
165.1323,-48.0726,0.5926,0.0002448711
165.1978,-48.1099,0.6725,0.0002341940
165.2621,-48.1463,0.7538,0.0002172684
165.3251,-48.1820,0.8359,0.0001961665
165.3868,-48.2169,0.9187,0.0001730627
165.4470,-48.2510,1.0024,0.0001497872
165.5057,-48.2843,1.0869,0.0001276507
165.5629,-48.3166,1.1724,0.0001075122
165.6186,-48.3481,1.2593,0.0000897070
165.6729,-48.3787,1.3458,0.0000743342
164.6096,-47.6215,0.1974,0.0001100158
164.7004,-47.6779,0.2141,0.0001475804
164.7827,-47.7308,0.2400,0.0001853005
164.8604,-47.7808,0.2781,0.0002207476
164.9360,-47.8281,0.3288,0.0002511317
165.0096,-47.8726,0.3904,0.0002730430
165.0810,-47.9147,0.4595,0.0002841436
165.1504,-47.9549,0.5336,0.0002838509
165.2180,-47.9937,0.6109,0.0002731142
165.2840,-48.0313,0.6900,0.0002540839
165.3484,-48.0680,0.7703,0.0002294802
165.4112,-48.1038,0.8516,0.0002021142
165.4722,-48.1385,0.9338,0.0001744662
165.5313,-48.1721,1.0172,0.0001482658
