lon,lat, dep, mag, year, slat, slon, sdep, dproj
167.0000, -45.0000, 25.0000, 5.5000, 1810, 167.0343, -45.0512, 10.5466,15.9956
167.0000, -45.0000, 25.0000, 7.5000, 1826, 167.0343, -45.0512, 10.5466,15.9956
167.0000, -45.0000, 47.0000, 7.0000, 1938, 167.1402, -45.1989, 26.0069,34.2475
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.0343, -45.0512, 10.5466,15.9956
167.0000, -45.0000, 25.0000, 5.0000, 1941, 167.0343, -45.0512, 10.5466,15.9956
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.0343, -45.0512, 10.5466,15.9956
167.4300, -45.4600, 92.0000, 6.0430, 1949, 167.3372, -45.3929, 96.0988,-13.3772
167.9600, -44.9200, 175.0000, 5.2440, 1950, 168.0245, -45.1055, 165.2167,23.9293
165.0100, -47.9400, 99.0000, 4.3290, 1964, 165.3009, -48.1590, 61.9796,54.8618
167.8000, -44.9900, 99.0000, 3.9100, 1964, 167.7841, -44.9687, 100.5576,-3.3409
167.5900, -44.9500, 82.0000, 3.5820, 1964, 167.6377, -45.0066, 79.5161,8.5972
167.6500, -45.0800, 104.0000, 4.0480, 1965, 167.6532, -45.0772, 104.0219,-0.4733
165.8100, -46.3000, 92.0000, 3.6890, 1965, 166.0077, -46.4446, 24.7862,72.5223
167.3600, -44.9400, 101.0000, 6.1310, 1965, 167.5586, -45.1243, 92.3611,31.3413
167.7800, -44.8700, 82.0000, 3.8660, 1965, 167.7929, -44.8975, 81.3241,3.4445
167.7700, -45.3300, 153.0000, 4.2070, 1966, 167.7048, -45.2622, 157.8905,-11.5462
168.0700, -45.0100, 150.0000, 5.2300, 1966, 168.0774, -45.0213, 149.1731,1.7145
167.5900, -45.0300, 93.0000, 3.1650, 1966, 167.6166, -45.0666, 91.5355,5.2398
167.8400, -44.9800, 114.0000, 3.9050, 1966, 167.8441, -44.9794, 113.4805,0.6944
167.3100, -45.2900, 111.0000, 3.1340, 1966, 167.4026, -45.3604, 106.6697,13.6401
167.6500, -45.0200, 83.0000, 3.4270, 1966, 167.6443, -45.0122, 82.7964,1.0933
167.5500, -45.1000, 89.0000, 3.5950, 1966, 167.5604, -45.1107, 89.0195,-1.6593
167.5900, -45.0200, 103.0000, 3.3240, 1966, 167.6412, -45.0770, 100.9139,8.7713
