clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
181.0912,-35.3372,25.308,181.0932,-35.3424,37.292,181.0951,-35.3472,48.278
180.9875,-35.2908,25.844,180.9903,-35.2982,37.812,180.9928,-35.3049,48.783
180.8844,-35.2460,26.536,180.8882,-35.2565,38.472,180.8916,-35.2661,49.413
180.7823,-35.2031,27.544,180.7874,-35.2180,39.415,180.7922,-35.2317,50.296
180.6811,-35.1623,28.884,180.6879,-35.1830,40.639,180.6942,-35.2019,51.414
180.5814,-35.1235,30.735,180.5902,-35.1509,42.303,180.5982,-35.1761,52.907
180.4834,-35.0862,33.149,180.4940,-35.1209,44.456,180.5038,-35.1528,54.820
180.3875,-35.0496,36.246,180.3999,-35.0915,47.237,180.4113,-35.1298,57.312
180.2940,-35.0133,40.066,180.3079,-35.0615,50.715,180.3207,-35.1057,60.477
180.2030,-34.9770,44.561,180.2181,-35.0305,54.880,180.2319,-35.0795,64.338
180.1145,-34.9406,49.683,180.1305,-34.9984,59.699,180.1451,-35.0514,68.880
180.0285,-34.9043,55.301,180.0451,-34.9657,65.044,180.0603,-35.0220,73.975
179.9446,-34.8684,61.341,179.9617,-34.9327,70.836,179.9775,-34.9917,79.540
179.8628,-34.8330,67.696,179.8804,-34.9000,76.956,179.8965,-34.9614,85.443
179.7831,-34.7983,74.329,179.8011,-34.8677,83.359,179.8176,-34.9313,91.636
179.7053,-34.7642,81.189,179.7236,-34.8359,89.992,179.7405,-34.9016,98.061
179.6295,-34.7309,88.266,179.6482,-34.8047,96.846,179.6654,-34.8723,104.710
179.5556,-34.6983,95.537,179.5747,-34.7740,103.899,179.5921,-34.8434,111.564
181.0301,-35.4230,25.290,181.0328,-35.4284,37.272,181.0352,-35.4333,48.256
180.9267,-35.3766,25.770,180.9304,-35.3841,37.735,180.9338,-35.3909,48.704
180.8243,-35.3317,26.418,180.8295,-35.3422,38.349,180.8342,-35.3519,49.286
180.7229,-35.2888,27.324,180.7300,-35.3037,39.185,180.7366,-35.3175,50.058
180.6227,-35.2480,28.554,180.6323,-35.2687,40.291,180.6410,-35.2877,51.051
180.5242,-35.2093,30.274,180.5366,-35.2368,41.813,180.5478,-35.2620,52.390
180.4274,-35.1722,32.548,180.4424,-35.2070,43.809,180.4562,-35.2390,54.131
180.3328,-35.1358,35.521,180.3503,-35.1778,46.448,180.3663,-35.2162,56.463
180.2404,-35.0997,39.229,180.2598,-35.1480,49.800,180.2777,-35.1923,59.489
180.1504,-35.0636,43.642,180.1713,-35.1171,53.874,180.1904,-35.1662,63.253
180.0628,-35.0274,48.698,180.0846,-35.0852,58.625,180.1046,-35.1381,67.725
179.9773,-34.9914,54.271,179.9998,-35.0525,63.929,180.0204,-35.1086,72.782
179.8940,-34.9557,60.262,179.9169,-35.0197,69.677,179.9379,-35.0785,78.308
179.8127,-34.9206,66.577,179.8359,-34.9872,75.759,179.8573,-35.0483,84.176
179.7333,-34.8862,73.146,179.7567,-34.9552,82.100,179.7782,-35.0186,90.307
179.6559,-34.8525,79.966,179.6797,-34.9239,88.689,179.7014,-34.9893,96.685
179.5805,-34.8196,86.982,179.6044,-34.8932,95.475,179.6264,-34.9606,103.259
179.5071,-34.7875,94.220,179.5312,-34.8630,102.489,179.5533,-34.9322,110.069
179.4359,-34.7559,101.712,179.4604,-34.8332,109.769,179.4828,-34.9040,117.155
179.3662,-34.7250,109.330,179.3907,-34.8039,117.188,179.4131,-34.8762,124.391
179.2984,-34.6946,117.161,179.3230,-34.7749,124.837,179.3457,-34.8485,131.873
179.2322,-34.6647,125.151,179.2570,-34.7463,132.660,179.2798,-34.8210,139.544
179.1672,-34.6354,133.246,179.1920,-34.7180,140.601,179.2149,-34.7938,147.344
179.1038,-34.6064,141.481,179.1288,-34.6901,148.696,179.1518,-34.7667,155.310
179.0415,-34.5780,149.798,179.0666,-34.6625,156.883,179.0896,-34.7399,163.378
178.9803,-34.5499,158.181,179.0054,-34.6352,165.146,179.0285,-34.7134,171.530
178.9203,-34.5222,166.634,178.9455,-34.6082,173.489,178.9687,-34.6870,179.772
178.8612,-34.4949,175.122,178.8865,-34.5815,181.872,178.9098,-34.6609,188.060
178.8030,-34.4679,183.626,178.8284,-34.5551,190.278,178.8518,-34.6351,196.375
178.7458,-34.4413,192.135,178.7714,-34.5290,198.693,178.7948,-34.6095,204.705
178.6894,-34.4150,200.621,178.7151,-34.5033,207.088,178.7387,-34.5842,213.016
178.6338,-34.3891,209.054,178.6597,-34.4778,215.430,178.6835,-34.5592,221.276
178.5791,-34.3635,217.403,178.6053,-34.4527,223.690,178.6293,-34.5345,229.452
178.5253,-34.3382,225.629,178.5518,-34.4279,231.824,178.5760,-34.5101,237.504
180.9681,-35.5092,25.344,180.9708,-35.5150,37.324,180.9733,-35.5203,48.305
180.8649,-35.4630,25.848,180.8688,-35.4710,37.809,180.8724,-35.4783,48.773
180.7629,-35.4182,26.547,180.7686,-35.4294,38.468,180.7738,-35.4397,49.396
180.6621,-35.3755,27.499,180.6702,-35.3912,39.343,180.6776,-35.4055,50.201
180.5629,-35.3347,28.795,180.5742,-35.3561,40.505,180.5845,-35.3757,51.239
180.4658,-35.2958,30.565,180.4806,-35.3239,42.065,180.4943,-35.3495,52.607
180.3706,-35.2584,32.899,180.3891,-35.2934,44.113,180.4061,-35.3255,54.392
180.2778,-35.2216,35.910,180.2999,-35.2633,46.784,180.3201,-35.3015,56.752
180.1870,-35.1851,39.624,180.2119,-35.2327,50.144,180.2347,-35.2763,59.787
180.0985,-35.1487,44.031,180.1256,-35.2011,54.214,180.1505,-35.2491,63.549
180.0120,-35.1123,49.045,180.0407,-35.1687,58.925,180.0671,-35.2204,67.982
179.9274,-35.0763,54.565,179.9571,-35.1360,64.177,179.9844,-35.1907,72.988
