clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
181.0932,-35.3424,37.292,181.1749,-35.3222,37.054,181.1148,-35.4079,37.009,181.0116,-35.3625,37.428,181.0717,-35.2773,37.678
180.9903,-35.2982,37.812,181.0717,-35.2773,37.678,181.0116,-35.3625,37.428,180.9094,-35.3192,37.923,180.9684,-35.2338,38.220
180.8882,-35.2565,38.472,180.9684,-35.2338,38.220,180.9094,-35.3192,37.923,180.8082,-35.2789,38.597,180.8667,-35.1939,39.148
180.7874,-35.2180,39.415,180.8667,-35.1939,39.148,180.8082,-35.2789,38.597,180.7088,-35.2423,39.590,180.7659,-35.1571,40.325
180.6879,-35.1830,40.639,180.7659,-35.1571,40.325,180.7088,-35.2423,39.590,180.6105,-35.2090,40.804,180.6665,-35.1235,41.837
180.5902,-35.1509,42.303,180.6665,-35.1235,41.837,180.6105,-35.2090,40.804,180.5148,-35.1788,42.661,180.5690,-35.0924,43.910
180.4940,-35.1209,44.456,180.5690,-35.0924,43.910,180.5148,-35.1788,42.661,180.4196,-35.1500,44.814,180.4729,-35.0626,46.438
180.3999,-35.0915,47.237,180.4729,-35.0626,46.438,180.4196,-35.1500,44.814,180.3278,-35.1207,47.993,180.3793,-35.0326,49.702
180.3079,-35.0615,50.715,180.3793,-35.0326,49.702,180.3278,-35.1207,47.993,180.2368,-35.0909,51.605,180.2877,-35.0019,53.560
180.2181,-35.0305,54.880,180.2877,-35.0019,53.560,180.2368,-35.0909,51.605,180.1492,-35.0590,56.234,180.1986,-34.9701,58.119
180.1305,-34.9984,59.699,180.1986,-34.9701,58.119,180.1492,-35.0590,56.234,180.0626,-35.0268,61.234,180.1116,-34.9376,63.208
180.0451,-34.9657,65.044,180.1116,-34.9376,63.208,180.0626,-35.0268,61.234,179.9792,-34.9936,66.941,180.0269,-34.9047,68.794
179.9617,-34.9327,70.836,180.0269,-34.9047,68.794,179.9792,-34.9936,66.941,179.8966,-34.9608,72.863,179.9442,-34.8718,74.748
179.8804,-34.9000,76.956,179.9442,-34.8718,74.748,179.8966,-34.9608,72.863,179.8172,-34.9282,79.196,179.8636,-34.8392,81.015
179.8011,-34.8677,83.359,179.8636,-34.8392,81.015,179.8172,-34.9282,79.196,179.7386,-34.8963,85.686,179.7849,-34.8070,87.537
179.7236,-34.8359,89.992,179.7849,-34.8070,87.537,179.7386,-34.8963,85.686,179.6628,-34.8650,92.457,179.7082,-34.7754,94.287
179.6482,-34.8047,96.846,179.7082,-34.7754,94.287,179.6628,-34.8650,92.457,179.5885,-34.8343,99.396,179.6334,-34.7442,101.244
179.5747,-34.7740,103.899,179.6334,-34.7442,101.244,179.5885,-34.8343,99.396,179.5162,-34.8040,106.563,179.5605,-34.7136,108.394
181.0328,-35.4284,37.272,181.1148,-35.4079,37.009,181.0537,-35.4942,37.101,180.9511,-35.4488,37.550,181.0116,-35.3625,37.428
180.9304,-35.3841,37.735,181.0116,-35.3625,37.428,180.9511,-35.4488,37.550,180.8496,-35.4057,38.040,180.9094,-35.3192,37.923
180.8295,-35.3422,38.349,180.9094,-35.3192,37.923,180.8496,-35.4057,38.040,180.7507,-35.3651,38.837,180.8082,-35.2789,38.597
180.7300,-35.3037,39.185,180.8082,-35.2789,38.597,180.7507,-35.3651,38.837,180.6522,-35.3287,39.716,180.7088,-35.2423,39.590
180.6323,-35.2687,40.291,180.7088,-35.2423,39.590,180.6522,-35.3287,39.716,180.5576,-35.2949,41.054,180.6105,-35.2090,40.804
180.5366,-35.2368,41.813,180.6105,-35.2090,40.804,180.5576,-35.2949,41.054,180.4634,-35.2645,42.732,180.5148,-35.1788,42.661
180.4424,-35.2070,43.809,180.5148,-35.1788,42.661,180.4634,-35.2645,42.732,180.3721,-35.2349,45.028,180.4196,-35.1500,44.814
180.3503,-35.1778,46.448,180.4196,-35.1500,44.814,180.3721,-35.2349,45.028,180.2816,-35.2055,47.955,180.3278,-35.1207,47.993
180.2598,-35.1480,49.800,180.3278,-35.1207,47.993,180.2816,-35.2055,47.955,180.1932,-35.1750,51.645,180.2368,-35.0909,51.605
180.1713,-35.1171,53.874,180.2368,-35.0909,51.605,180.1932,-35.1750,51.645,180.1059,-35.1436,56.011,180.1492,-35.0590,56.234
180.0846,-35.0852,58.625,180.1492,-35.0590,56.234,180.1059,-35.1436,56.011,180.0207,-35.1112,61.021,180.0626,-35.0268,61.234
179.9998,-35.0525,63.929,180.0626,-35.0268,61.234,180.0207,-35.1112,61.021,179.9367,-35.0785,66.519,179.9792,-34.9936,66.941
179.9169,-35.0197,69.677,179.9792,-34.9936,66.941,179.9367,-35.0785,66.519,179.8549,-35.0460,72.387,179.8966,-34.9608,72.863
179.8359,-34.9872,75.759,179.8966,-34.9608,72.863,179.8549,-35.0460,72.387,179.7751,-35.0138,78.592,179.8172,-34.9282,79.196
179.7567,-34.9552,82.100,179.8172,-34.9282,79.196,179.7751,-35.0138,78.592,179.6959,-34.9826,84.925,179.7386,-34.8963,85.686
179.6797,-34.9239,88.689,179.7386,-34.8963,85.686,179.6959,-34.9826,84.925,179.6213,-34.9516,91.687,179.6628,-34.8650,92.457
179.6044,-34.8932,95.475,179.6628,-34.8650,92.457,179.6213,-34.9516,91.687,179.5451,-34.9220,98.359,179.5885,-34.8343,99.396
179.5312,-34.8630,102.489,179.5885,-34.8343,99.396,179.5451,-34.9220,98.359,179.4749,-34.8918,105.640,179.5162,-34.8040,106.563
179.4604,-34.8332,109.769,179.5162,-34.8040,106.563,179.4749,-34.8918,105.640,179.4045,-34.8626,112.941,179.4459,-34.7743,113.933
179.3907,-34.8039,117.188,179.4459,-34.7743,113.933,179.4045,-34.8626,112.941,179.3353,-34.8339,120.408,179.3770,-34.7449,121.471
179.3230,-34.7749,124.837,179.3770,-34.7449,121.471,179.3353,-34.8339,120.408,179.2698,-34.8050,128.271,179.3100,-34.7159,129.196
179.2570,-34.7463,132.660,179.3100,-34.7159,129.196,179.2698,-34.8050,128.271,179.2037,-34.7769,136.116,179.2443,-34.6873,137.059
179.1920,-34.7180,140.601,179.2443,-34.6873,137.059,179.2037,-34.7769,136.116,179.1400,-34.7489,144.187,179.1801,-34.6590,145.044
179.1288,-34.6901,148.696,179.1801,-34.6590,145.044,179.1400,-34.7489,144.187,179.0779,-34.7212,152.415,179.1171,-34.6311,153.139
179.0666,-34.6625,156.883,179.1171,-34.6311,153.139,179.0779,-34.7212,152.415,179.0159,-34.6941,160.668,179.0554,-34.6035,161.311
179.0054,-34.6352,165.146,179.0554,-34.6035,161.311,179.0159,-34.6941,160.668,178.9557,-34.6670,169.057,178.9947,-34.5762,169.547
178.9455,-34.6082,173.489,178.9947,-34.5762,169.547,178.9557,-34.6670,169.057,178.8966,-34.6402,177.524,178.9352,-34.5493,177.827
178.8865,-34.5815,181.872,178.9352,-34.5493,177.827,178.8966,-34.6402,177.524,178.8378,-34.6139,186.013,178.8766,-34.5226,186.126
178.8284,-34.5551,190.278,178.8766,-34.5226,186.126,178.8378,-34.6139,186.013,178.7804,-34.5877,194.548,178.8189,-34.4963,194.424
178.7714,-34.5290,198.693,178.8189,-34.4963,194.424,178.7804,-34.5877,194.548,178.7239,-34.5619,203.104,178.7622,-34.4703,202.696
178.7151,-34.5033,207.088,178.7622,-34.4703,202.696,178.7239,-34.5619,203.104,178.6679,-34.5364,211.639,178.7065,-34.4446,210.912
178.6597,-34.4778,215.430,178.7065,-34.4446,210.912,178.6679,-34.5364,211.639,178.6129,-34.5112,220.133,178.6516,-34.4192,219.038
178.6053,-34.4527,223.690,178.6516,-34.4192,219.038,178.6129,-34.5112,220.133,178.5589,-34.4863,228.557,178.5977,-34.3941,227.031
178.5518,-34.4279,231.824,178.5977,-34.3941,227.031,178.5589,-34.4863,228.557,178.5057,-34.4618,236.868,178.5447,-34.3694,234.842
180.9708,-35.5150,37.324,181.0537,-35.4942,37.101,180.9907,-35.5809,37.100,180.8879,-35.5360,37.545,180.9511,-35.4488,37.550
180.8688,-35.4710,37.809,180.9511,-35.4488,37.550,180.8879,-35.5360,37.545,180.7866,-35.4933,38.100,180.8496,-35.4057,38.040
180.7686,-35.4294,38.468,180.8496,-35.4057,38.040,180.7866,-35.4933,38.100,180.6873,-35.4536,38.894,180.7507,-35.3651,38.837
180.6702,-35.3912,39.343,180.7507,-35.3651,38.837,180.6873,-35.4536,38.894,180.5904,-35.4172,39.926,180.6522,-35.3287,39.716
180.5742,-35.3561,40.505,180.6522,-35.3287,39.716,180.5904,-35.4172,39.926,180.4964,-35.3837,41.323,180.5576,-35.2949,41.054
180.4806,-35.3239,42.065,180.5576,-35.2949,41.054,180.4964,-35.3837,41.323,180.4052,-35.3523,43.151,180.4634,-35.2645,42.732
180.3891,-35.2934,44.113,180.4634,-35.2645,42.732,180.4052,-35.3523,43.151,180.3158,-35.3219,45.539,180.3721,-35.2349,45.028
180.2999,-35.2633,46.784,180.3721,-35.2349,45.028,180.3158,-35.3219,45.539,180.2300,-35.2907,48.616,180.2816,-35.2055,47.955
180.2119,-35.2327,50.144,180.2816,-35.2055,47.955,180.2300,-35.2907,48.616,180.1428,-35.2595,52.360,180.1932,-35.1750,51.645
180.1256,-35.2011,54.214,180.1932,-35.1750,51.645,180.1428,-35.2595,52.360,180.0606,-35.2262,56.841,180.1059,-35.1436,56.011
180.0407,-35.1687,58.925,180.1059,-35.1436,56.011,180.0606,-35.2262,56.841,179.9758,-35.1938,61.827,180.0207,-35.1112,61.021
179.9571,-35.1360,64.177,180.0207,-35.1112,61.021,179.9758,-35.1938,61.827,179.8952,-35.1603,67.341,179.9367,-35.0785,66.519
179.8753,-35.1032,69.854,179.9367,-35.0785,66.519,179.8952,-35.1603,67.341,179.8146,-35.1278,73.169,179.8549,-35.0460,72.387
179.7951,-35.0709,75.857,179.8549,-35.0460,72.387,179.8146,-35.1278,73.169,179.7359,-35.0959,79.279,179.7751,-35.0138,78.592
179.7167,-35.0392,82.114,179.7751,-35.0138,78.592,179.7359,-35.0959,79.279,179.6598,-35.0644,85.658,179.6959,-34.9826,84.925
179.6403,-35.0082,88.625,179.6959,-34.9826,84.925,179.6598,-35.0644,85.658,179.5841,-35.0342,92.231,179.6213,-34.9516,91.687
179.5655,-34.9780,95.333,179.6213,-34.9516,91.687,179.5841,-35.0342,92.231,179.5116,-35.0041,99.055,179.5451,-34.9220,98.359
179.4929,-34.9482,102.296,179.5451,-34.9220,98.359,179.5116,-35.0041,99.055,179.4400,-34.9749,106.131,179.4749,-34.8918,105.640
179.4224,-34.9188,109.528,179.4749,-34.8918,105.640,179.4400,-34.9749,106.131,179.3701,-34.9460,113.402,179.4045,-34.8626,112.941
179.3530,-34.8900,116.920,179.4045,-34.8626,112.941,179.3701,-34.9460,113.402,179.3022,-34.9174,120.928,179.3353,-34.8339,120.408
179.2857,-34.8614,124.568,179.3353,-34.8339,120.408,179.3022,-34.9174,120.928,179.2355,-34.8892,128.665,179.2698,-34.8050,128.271
179.2197,-34.8332,132.390,179.2698,-34.8050,128.271,179.2355,-34.8892,128.665,179.1697,-34.8616,136.510,179.2037,-34.7769,136.116
179.1549,-34.8053,140.355,179.2037,-34.7769,136.116,179.1697,-34.8616,136.510,179.1061,-34.8339,144.609,179.1400,-34.7489,144.187
179.0918,-34.7777,148.506,179.1400,-34.7489,144.187,179.1061,-34.8339,144.609,179.0431,-34.8067,152.812,179.0779,-34.7212,152.415
179.0293,-34.7505,156.736,179.0779,-34.7212,152.415,179.0431,-34.8067,152.812,178.9802,-34.7801,161.050,179.0159,-34.6941,160.668
178.9681,-34.7236,165.082,179.0159,-34.6941,160.668,178.9802,-34.7801,161.050,178.9206,-34.7531,169.551,178.9557,-34.6670,169.057
178.9084,-34.6968,173.555,178.9557,-34.6670,169.057,178.9206,-34.7531,169.551,178.8607,-34.7268,178.089,178.8966,-34.6402,177.524
178.8487,-34.6706,182.057,178.8966,-34.6402,177.524,178.8607,-34.7268,178.089,178.7998,-34.7013,186.603,178.8378,-34.6139,186.013
178.7904,-34.6445,190.630,178.8378,-34.6139,186.013,178.7998,-34.7013,186.603,178.7437,-34.6749,195.357,178.7804,-34.5877,194.548
178.7336,-34.6184,199.282,178.7804,-34.5877,194.548,178.7437,-34.6749,195.357,178.6867,-34.6492,204.118,178.7239,-34.5619,203.104
178.6767,-34.5930,207.931,178.7239,-34.5619,203.104,178.6867,-34.6492,204.118,178.6283,-34.6245,212.860,178.6679,-34.5364,211.639
178.6208,-34.5678,216.572,178.6679,-34.5364,211.639,178.6283,-34.6245,212.860,178.5742,-34.5991,221.656,178.6129,-34.5112,220.133
