clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
165.0531,-49.0268,117.985,165.0021,-49.0117,120.872,164.9512,-48.9966,123.759
165.1182,-49.0630,126.670,165.0664,-49.0477,129.467,165.0146,-49.0324,132.263
165.1815,-49.0981,134.474,165.1291,-49.0827,137.196,165.0766,-49.0672,139.918
165.2434,-49.1324,141.454,165.1903,-49.1168,144.108,165.1373,-49.1012,146.763
165.3039,-49.1658,147.662,165.2503,-49.1501,150.255,165.1968,-49.1343,152.848
165.3631,-49.1985,153.212,165.3090,-49.1826,155.748,165.2550,-49.1668,158.284
165.4210,-49.2305,158.231,165.3666,-49.2145,160.713,165.3122,-49.1985,163.195
165.4779,-49.2618,162.816,165.4230,-49.2457,165.247,165.3682,-49.2296,167.678
165.5336,-49.2924,167.041,165.4784,-49.2763,169.423,165.4232,-49.2600,171.806
165.5883,-49.3225,170.960,165.5327,-49.3062,173.296,165.4772,-49.2899,175.632
165.6420,-49.3520,174.616,165.5861,-49.3356,176.908,165.5302,-49.3192,179.199
165.6947,-49.3809,178.042,165.6385,-49.3645,180.290,165.5823,-49.3480,182.539
165.7465,-49.4093,181.264,165.6900,-49.3928,183.471,165.6335,-49.3762,185.679
165.7973,-49.4372,184.304,165.7406,-49.4206,186.472,165.6839,-49.4040,188.640
165.8474,-49.4646,187.180,165.7904,-49.4479,189.310,165.7334,-49.4312,191.440
165.8966,-49.4915,189.908,165.8393,-49.4748,192.001,165.7821,-49.4580,194.095
165.9449,-49.5180,192.501,165.8875,-49.5012,194.559,165.8300,-49.4843,196.617
165.9926,-49.5440,194.969,165.9349,-49.5271,196.994,165.8772,-49.5102,199.018
166.0394,-49.5696,197.324,165.9815,-49.5527,199.316,165.9237,-49.5357,201.308
166.0856,-49.5948,199.574,166.0275,-49.5778,201.534,165.9694,-49.5608,203.495
166.1311,-49.6196,201.725,166.0728,-49.6025,203.656,166.0145,-49.5855,205.586
166.1759,-49.6440,203.786,166.1174,-49.6269,205.687,166.0589,-49.6098,207.588
166.2200,-49.6680,205.762,166.1614,-49.6509,207.635,166.1028,-49.6338,209.507
166.2635,-49.6917,207.658,166.2047,-49.6746,209.504,166.1460,-49.6574,211.349
166.3065,-49.7151,209.480,166.2475,-49.6979,211.299,166.1886,-49.6807,213.118
166.3488,-49.7381,211.232,166.2897,-49.7209,213.025,166.2306,-49.7036,214.819
166.3906,-49.7608,212.917,166.3313,-49.7435,214.686,166.2721,-49.7262,216.455
166.4318,-49.7832,214.540,166.3724,-49.7659,216.285,166.3130,-49.7485,218.031
166.4725,-49.8053,216.104,166.4130,-49.7879,217.826,166.3535,-49.7706,219.548
166.5127,-49.8271,217.613,166.4530,-49.8097,219.312,166.3934,-49.7923,221.012
164.1760,-48.3996,17.944,164.1553,-48.3933,22.654,164.1347,-48.3871,27.365
