clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
165.0021,-49.0117,120.872,164.9345,-49.0368,115.114,165.0046,-48.9501,117.582,165.0689,-48.9861,126.760,165.0004,-49.0738,124.032
165.0664,-49.0477,129.467,165.0004,-49.0738,124.032,165.0689,-48.9861,126.760,165.1315,-49.0211,135.245,165.0647,-49.1097,131.830
165.1291,-49.0827,137.196,165.0647,-49.1097,131.830,165.1315,-49.0211,135.245,165.1927,-49.0553,142.730,165.1274,-49.1446,138.979
165.1903,-49.1168,144.108,165.1274,-49.1446,138.979,165.1927,-49.0553,142.730,165.2526,-49.0886,149.275,165.1887,-49.1787,145.449
165.2503,-49.1501,150.255,165.1887,-49.1787,145.449,165.2526,-49.0886,149.275,165.3113,-49.1211,155.010,165.2487,-49.2120,151.284
165.3090,-49.1826,155.748,165.2487,-49.2120,151.284,165.3113,-49.1211,155.010,165.3688,-49.1530,160.133,165.3074,-49.2445,156.565
165.3666,-49.2145,160.713,165.3074,-49.2445,156.565,165.3688,-49.1530,160.133,165.4252,-49.1842,164.778,165.3650,-49.2763,161.377
165.4230,-49.2457,165.247,165.3650,-49.2763,161.377,165.4252,-49.1842,164.778,165.4805,-49.2148,169.038,165.4214,-49.3074,165.796
165.4784,-49.2763,169.423,165.4214,-49.3074,165.796,165.4805,-49.2148,169.038,165.5348,-49.2448,172.979,165.4768,-49.3380,169.881
165.5327,-49.3062,173.296,165.4768,-49.3380,169.881,165.5348,-49.2448,172.979,165.5881,-49.2742,176.646,165.5312,-49.3679,173.679
165.5861,-49.3356,176.908,165.5312,-49.3679,173.679,165.5881,-49.2742,176.646,165.6405,-49.3031,180.077,165.5846,-49.3973,177.228
165.6385,-49.3645,180.290,165.5846,-49.3973,177.228,165.6405,-49.3031,180.077,165.6919,-49.3314,183.299,165.6370,-49.4261,180.558
165.6900,-49.3928,183.471,165.6370,-49.4261,180.558,165.6919,-49.3314,183.299,165.7424,-49.3592,186.336,165.6886,-49.4544,183.692
165.7406,-49.4206,186.472,165.6886,-49.4544,183.692,165.7424,-49.3592,186.336,165.7921,-49.3865,189.206,165.7392,-49.4822,186.652
165.7904,-49.4479,189.310,165.7392,-49.4822,186.652,165.7921,-49.3865,189.206,165.8410,-49.4134,191.927,165.7891,-49.5096,189.455
165.8393,-49.4748,192.001,165.7891,-49.5096,189.455,165.8410,-49.4134,191.927,165.8891,-49.4397,194.510,165.8381,-49.5364,192.114
165.8875,-49.5012,194.559,165.8381,-49.5364,192.114,165.8891,-49.4397,194.510,165.9364,-49.4657,196.969,165.8863,-49.5628,194.642
165.9349,-49.5271,196.994,165.8863,-49.5628,194.642,165.9364,-49.4657,196.969,165.9830,-49.4912,199.313,165.9338,-49.5888,197.051
165.9815,-49.5527,199.316,165.9338,-49.5888,197.051,165.9830,-49.4912,199.313,166.0288,-49.5163,201.552,165.9805,-49.6143,199.349
166.0275,-49.5778,201.534,165.9805,-49.6143,199.349,166.0288,-49.5163,201.552,166.0740,-49.5411,203.692,166.0266,-49.6395,201.544
166.0728,-49.6025,203.656,166.0266,-49.6395,201.544,166.0740,-49.5411,203.692,166.1185,-49.5654,205.741,166.0719,-49.6642,203.645
166.1174,-49.6269,205.687,166.0719,-49.6642,203.645,166.1185,-49.5654,205.741,166.1624,-49.5894,207.705,166.1166,-49.6886,205.658
166.1614,-49.6509,207.635,166.1166,-49.6886,205.658,166.1624,-49.5894,207.705,166.2057,-49.6130,209.589,166.1607,-49.7127,207.587
166.2047,-49.6746,209.504,166.1607,-49.7127,207.587,166.2057,-49.6130,209.589,166.2483,-49.6363,211.399,166.2042,-49.7363,209.440
166.2475,-49.6979,211.299,166.2042,-49.7363,209.440,166.2483,-49.6363,211.399,166.2904,-49.6592,213.138,166.2471,-49.7597,211.220
166.2897,-49.7209,213.025,166.2471,-49.7597,211.220,166.2904,-49.6592,213.138,166.3319,-49.6819,214.812,166.2894,-49.7827,212.931
166.3313,-49.7435,214.686,166.2894,-49.7827,212.931,166.3319,-49.6819,214.812,166.3729,-49.7042,216.423,166.3311,-49.8054,214.579
166.3724,-49.7659,216.285,166.3311,-49.8054,214.579,166.3729,-49.7042,216.423,166.4133,-49.7262,217.975,166.3723,-49.8278,216.165
166.4130,-49.7879,217.826,166.3723,-49.8278,216.165,166.4133,-49.7262,217.975,166.4533,-49.7479,219.472,166.4130,-49.8499,217.694
166.4530,-49.8097,219.312,166.4130,-49.8499,217.694,166.4533,-49.7479,219.472,166.4927,-49.7694,220.915,166.4532,-49.8717,219.168
164.1553,-48.3933,22.654,164.0516,-48.3998,20.052,164.1531,-48.3275,21.674,164.2552,-48.3859,25.037,164.1614,-48.4602,23.854
164.2500,-48.4493,26.171,164.1614,-48.4602,23.854,164.2552,-48.3859,25.037,164.3353,-48.4374,28.580,164.2480,-48.5137,27.211
164.3298,-48.4999,30.247,164.2480,-48.5137,27.211,164.3353,-48.4374,28.580,164.4112,-48.4856,33.530,164.3249,-48.5629,31.668
164.4048,-48.5469,35.680,164.3249,-48.5629,31.668,164.4112,-48.4856,33.530,164.4843,-48.5305,39.908,164.3987,-48.6087,37.616
164.4769,-48.5906,42.447,164.3987,-48.6087,37.616,164.4843,-48.5305,39.908,164.5545,-48.5722,47.423,164.4699,-48.6513,44.840
164.5462,-48.6314,50.244,164.4699,-48.6513,44.840,164.5545,-48.5722,47.423,164.6222,-48.6113,55.734,164.5382,-48.6910,52.978
