lon,lat, dep, mag, year, slat, slon, sdep, dproj
167.0000, -45.0000, 25.0000, 5.5000, 1810, 167.0031, -45.0017, 23.9050,1.1634
167.0000, -45.0000, 25.0000, 7.5000, 1826, 167.0031, -45.0017, 23.9050,1.1634
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.0031, -45.0017, 23.9050,1.1634
167.0000, -45.0000, 25.0000, 5.0000, 1941, 167.0031, -45.0017, 23.9050,1.1634
166.4500, -45.1900, 26.0000, 3.6700, 1967, 166.4605, -45.1995, 19.5540,6.6355
166.5900, -45.1900, 39.9000, 5.1760, 1968, 166.6376, -45.2459, 26.2900,15.8708
167.5500, -44.5300, 28.0000, 3.4950, 1984, 167.5496, -44.5286, 28.3090,-0.3488
167.2671, -44.8530, 28.7700, 3.1510, 1991, 167.2692, -44.8567, 28.3150,0.6564
166.7714, -45.1272, 21.6300, 3.7840, 1992, 166.7657, -45.1175, 24.0940,-2.7634
166.2190, -45.8628, 19.8900, 3.5150, 1993, 166.2074, -45.8495, 23.1940,-3.8428
166.7085, -45.2138, 22.0000, 6.8000, 1993, 166.6976, -45.1939, 25.9370,-4.6760
167.5087, -44.6962, 39.6800, 3.0030, 1996, 167.5118, -44.6983, 39.4070,0.4979
164.8661, -47.6095, 27.0000, 3.2760, 2000, 164.8647, -47.6085, 26.9060,0.2132
166.8121, -45.0597, 18.2800, 3.2540, 2000, 166.8083, -45.0494, 22.1470,-4.0551
166.9672, -44.8555, 17.0300, 4.1120, 2000, 166.9680, -44.8525, 19.6240,-2.6169
165.0169, -47.4110, 34.8100, 3.0100, 2000, 165.0345, -47.4209, 29.4470,5.8141
167.0585, -44.9002, 20.9900, 3.7000, 2000, 167.0571, -44.8996, 21.7560,-0.7845
165.0425, -47.6704, 30.2600, 3.5340, 2000, 165.0226, -47.6572, 35.0720,-5.4960
166.9462, -45.1172, 25.0000, 6.1000, 2000, 166.9415, -45.1050, 27.4730,-2.8687
165.2693, -46.7494, 38.9100, 3.4560, 2001, 165.2903, -46.7604, 26.9960,12.2021
166.8103, -45.1510, 34.0200, 4.5060, 2002, 166.8230, -45.1806, 29.0070,6.1610
165.1882, -46.7352, 39.1200, 3.0890, 2002, 165.2071, -46.7476, 25.2280,14.1176
166.4135, -45.4738, 22.2100, 3.6210, 2002, 166.4042, -45.4697, 24.0670,-2.1739
167.4012, -44.8501, 38.9700, 3.4510, 2003, 167.3892, -44.8349, 40.5430,-2.6667
166.4035, -45.4655, 20.5200, 4.3140, 2003, 166.3943, -45.4581, 23.3600,-3.1288
164.9121, -47.2959, 37.0400, 3.0920, 2003, 164.9345, -47.3061, 24.9340,12.4115
165.3546, -47.3010, 39.9100, 3.2600, 2003, 165.3583, -47.3039, 39.1170,0.9498
164.9142, -47.2987, 26.1000, 3.4490, 2003, 164.9156, -47.3011, 24.4850,1.6443
164.9694, -47.4369, 26.9100, 3.4240, 2003, 164.9695, -47.4361, 27.4890,-0.5859
165.6366, -46.1201, 36.0000, 4.5000, 2004, 165.6487, -46.1412, 24.0210,12.2805
165.0934, -47.7098, 38.9700, 3.1630, 2004, 165.0835, -47.7032, 40.3970,-1.9460
165.1152, -47.1245, 28.6900, 3.3850, 2004, 165.1199, -47.1275, 27.3220,1.5019
165.9877, -45.7046, 24.0000, 3.9000, 2005, 165.9901, -45.7107, 16.9250,7.1124
165.0897, -47.4350, 31.2900, 3.9830, 2006, 165.0888, -47.4344, 31.8230,-0.5464
167.5401, -44.4911, 24.1200, 4.2570, 2006, 167.5390, -44.4873, 24.9470,-0.9367
166.8705, -45.1362, 37.0500, 4.2000, 2006, 166.8860, -45.1770, 30.6310,8.0471
166.9808, -44.8566, 36.5100, 3.5790, 2006, 166.9978, -44.8819, 20.4780,16.3864
166.6734, -45.0335, 24.2500, 3.9000, 2006, 166.6757, -45.0408, 19.9960,4.3383
167.3762, -44.8207, 31.9800, 3.9000, 2007, 167.3636, -44.8080, 33.6270,-2.5826
167.2994, -44.7285, 27.0000, 6.1000, 2007, 167.3103, -44.7355, 24.1200,3.2201
165.8455, -46.2200, 25.4500, 3.9000, 2008, 165.8371, -46.2099, 29.4250,-4.2349
165.3977, -47.1982, 39.9900, 4.5140, 2009, 165.4027, -47.2019, 37.6810,2.4104
165.0482, -47.8305, 38.7900, 3.2020, 2010, 165.0316, -47.8183, 42.1650,-4.0790
165.4220, -47.0879, 38.7300, 3.6500, 2010, 165.4278, -47.0946, 35.8530,3.0411
164.7839, -47.5396, 27.3100, 3.0260, 2010, 164.7878, -47.5417, 23.9680,3.3781
167.2437, -44.6505, 20.0000, 3.5000, 2010, 167.2451, -44.6499, 19.9490,0.1769
165.0189, -47.7457, 39.0100, 3.4730, 2011, 165.0204, -47.7485, 38.3380,0.7592
166.1061, -46.0710, 27.0000, 3.8000, 2012, 166.0936, -46.0565, 30.6130,-4.1935
166.8736, -45.0668, 20.0000, 4.3000, 2014, 166.8703, -45.0570, 23.4330,-3.6204
164.9202, -47.8955, 33.0100, 3.9390, 2015, 164.9042, -47.8851, 36.7610,-4.3096
167.0501, -44.7141, 18.7100, 3.6250, 2015, 167.0500, -44.7145, 18.7430,-0.0565
167.4362, -44.7057, 31.6900, 3.0510, 2015, 167.4363, -44.7057, 32.0660,-0.3762
166.9065, -45.1922, 36.0000, 5.5000, 2016, 166.9137, -45.2051, 34.1660,2.4621
164.9618, -47.1239, 38.0300, 3.0070, 2019, 164.9839, -47.1311, 24.3950,13.8778
178.0000, -39.0000, 25.0000, 5.5000, 1835, 178.0135, -39.0089, 40.8880,-15.9894
178.0000, -39.0000, 25.0000, 4.5000, 1846, 178.0135, -39.0089, 40.8880,-15.9894
178.0000, -39.0000, 25.0000, 4.5000, 1846, 178.0135, -39.0089, 40.8880,-15.9894
178.0000, -39.0000, 25.0000, 4.5000, 1852, 178.0135, -39.0089, 40.8880,-15.9894
177.0000, -40.0000, 25.0000, 4.5000, 1852, 177.0120, -40.0125, 41.7590,-16.8694
178.0000, -39.0000, 25.0000, 5.8000, 1875, 178.0135, -39.0089, 40.8880,-15.9894
180.2330, -35.6800, 35.0000, 6.3700, 1930, 180.2467, -35.6871, 42.5250,-7.7181
180.4040, -35.3230, 35.0000, 6.2200, 1930, 180.4193, -35.3287, 43.1470,-8.3468
177.0000, -40.0000, 25.0000, 6.4600, 1931, 177.0120, -40.0125, 41.7590,-16.8694
176.0000, -41.0000, 25.0000, 5.5000, 1931, 176.0075, -41.0076, 42.6710,-17.7108
178.3000, -40.0000, 25.0000, 4.5000, 1940, 178.3071, -40.0057, 33.9270,-8.9842
179.0000, -38.5000, 25.0000, 4.5000, 1940, 179.0066, -38.5056, 33.9820,-9.0334
177.7000, -39.5000, 25.0000, 4.5000, 1940, 177.7078, -39.5102, 40.8570,-15.9212
178.2000, -39.1000, 40.0000, 4.6900, 1940, 178.1991, -39.0973, 38.4620,1.5702
180.0000, -37.0000, 25.0000, 4.8000, 1940, 180.0081, -37.0021, 36.3600,-11.3980
180.0000, -37.0000, 25.0000, 4.7000, 1940, 180.0081, -37.0021, 36.3600,-11.3980
176.2000, -41.5000, 25.0000, 4.7000, 1941, 176.2063, -41.5129, 39.3060,-14.3948
176.0000, -41.0000, 25.0000, 4.5000, 1941, 176.0075, -41.0076, 42.6710,-17.7108
178.3000, -38.7000, 25.0000, 3.7000, 1942, 178.3159, -38.7109, 39.6760,-14.8317
178.8032, -38.8455, 15.0000, 7.0500, 1947, 178.8126, -38.8509, 33.3980,-18.4374
175.6800, -41.2000, 27.0000, 4.1450, 1950, 175.6926, -41.2064, 44.4210,-17.4917
180.2670, -35.2950, 30.0000, 5.9800, 1953, 180.3045, -35.3113, 46.0170,-16.6498
180.4360, -35.3470, 25.0000, 6.1800, 1956, 180.4597, -35.3582, 42.1140,-17.3604
180.5130, -35.6970, 20.0000, 5.7300, 1957, 180.5244, -35.7022, 38.8310,-18.8825
180.5530, -36.1490, 25.0000, 5.8400, 1958, 180.5560, -36.1503, 36.4870,-11.4928
178.0600, -38.4100, 39.0000, 3.7280, 1964, 178.0718, -38.4227, 46.9980,-8.2270
178.1100, -38.7400, 32.3000, 5.6000, 1966, 178.1213, -38.7487, 41.7710,-9.6028
175.0800, -41.6500, 35.8000, 5.1900, 1968, 175.0855, -41.6633, 45.3530,-9.6861
177.9500, -38.6200, 37.0000, 3.6730, 1970, 177.9626, -38.6301, 45.4220,-8.6113
176.9000, -39.6900, 32.6000, 5.1050, 1973, 176.9150, -39.7074, 45.8750,-13.5185
177.1000, -39.0600, 40.0000, 3.1930, 1976, 177.1293, -39.0788, 53.6320,-14.1710
177.4900, -39.2600, 34.6000, 5.1540, 1976, 177.5010, -39.2662, 44.7260,-10.2229
177.3900, -39.2200, 38.7000, 5.1140, 1976, 177.3993, -39.2259, 46.4170,-7.8136
177.9700, -38.9900, 28.0000, 3.7620, 1978, 177.9838, -38.9956, 41.3010,-13.4037
177.3700, -39.8600, 22.0000, 3.6820, 1978, 177.3800, -39.8718, 40.3390,-18.4195
175.8480, -41.4170, 29.3000, 3.2520, 1979, 175.8551, -41.4238, 42.4790,-13.2243
177.4000, -39.3500, 30.0000, 4.7820, 1979, 177.4125, -39.3628, 44.7070,-14.8409
176.8700, -39.7200, 30.0000, 5.7000, 1980, 176.8856, -39.7363, 45.8570,-16.0542
180.1880, -35.3460, 30.0000, 5.9380, 1980, 180.2318, -35.3713, 47.1780,-18.0753
177.9000, -38.8700, 27.0000, 3.2690, 1981, 177.9184, -38.8825, 42.9880,-16.1782
174.8600, -41.6900, 30.0000, 3.3440, 1981, 174.8738, -41.7140, 46.3840,-16.6707
178.8400, -37.6900, 38.0000, 3.3290, 1981, 178.8443, -37.6954, 43.6760,-5.7277
176.4400, -40.6300, 30.4000, 5.4000, 1981, 176.4465, -40.6332, 42.6750,-12.3014
176.7500, -40.0100, 27.0000, 3.1170, 1982, 176.7658, -40.0242, 43.9060,-17.0702
175.3270, -41.2990, 30.5000, 3.2010, 1982, 175.3416, -41.3062, 47.2190,-16.8167
177.7600, -39.0400, 30.0000, 4.8740, 1982, 177.7712, -39.0467, 43.2790,-13.3581
175.7700, -40.8600, 31.0000, 3.7480, 1982, 175.7848, -40.8737, 45.7130,-14.8829
180.8910, -35.3720, 35.0000, 5.4960, 1983, 180.8911, -35.3732, 37.9070,-2.9101
176.1100, -40.8800, 28.0000, 3.2860, 1983, 176.1164, -40.8873, 42.8370,-14.8762
177.8300, -38.9100, 38.0000, 3.5070, 1983, 177.8350, -38.9131, 43.7460,-5.7831
173.7900, -42.4700, 30.0000, 3.6790, 1983, 173.8074, -42.4900, 46.8820,-17.1374
177.1400, -39.7700, 30.0000, 3.0100, 1983, 177.1476, -39.7792, 42.6770,-12.7463
174.7590, -41.9330, 33.7000, 3.3030, 1983, 174.7666, -41.9467, 43.2490,-9.7066
178.9100, -38.7600, 18.0000, 3.3290, 1983, 178.9206, -38.7692, 33.0410,-15.1218
178.5000, -38.5800, 27.0000, 4.2930, 1983, 178.5131, -38.5908, 38.3510,-11.5069
174.5640, -42.0260, 29.0000, 3.5070, 1984, 174.5758, -42.0437, 43.8940,-15.0807
179.3500, -37.8200, 25.0000, 3.6430, 1984, 179.3588, -37.8258, 36.4800,-11.5397
177.6200, -39.3000, 29.0000, 3.3850, 1984, 177.6292, -39.3077, 43.0100,-14.0734
176.9200, -39.6300, 30.0000, 4.0560, 1984, 176.9349, -39.6481, 46.4580,-16.6632
175.9460, -40.9040, 26.3000, 3.0000, 1984, 175.9557, -40.9168, 43.6830,-17.4745
176.7900, -40.5300, 36.0000, 3.2270, 1984, 176.7922, -40.5334, 40.7330,-4.7544
179.2200, -37.5400, 27.0000, 4.6980, 1984, 179.2323, -37.5487, 40.3300,-13.4349
175.7600, -40.9100, 28.0000, 3.6970, 1984, 175.7758, -40.9276, 45.1980,-17.3979
176.4100, -40.5000, 32.0000, 3.5660, 1984, 176.4178, -40.5053, 43.7240,-11.7708
177.8600, -38.8600, 32.0000, 3.7450, 1985, 177.8730, -38.8726, 43.6700,-11.8424
176.3200, -41.0400, 26.0000, 3.0790, 1985, 176.3228, -41.0454, 41.0210,-15.0362
174.2200, -42.3900, 36.0000, 3.7320, 1985, 174.2259, -42.3942, 44.3920,-8.4305
179.7300, -37.6900, 35.0000, 6.3000, 1985, 179.7295, -37.6874, 34.9590,0.2972
177.5200, -39.0500, 31.0000, 3.1810, 1985, 177.5344, -39.0610, 46.0420,-15.1764
174.6700, -41.6500, 31.0000, 3.5280, 1985, 174.6906, -41.6771, 49.1860,-18.5757
174.6220, -41.6500, 33.7000, 3.1500, 1985, 174.6374, -41.6753, 49.9370,-16.5676
178.5400, -39.0600, 25.0000, 3.2420, 1985, 178.5475, -39.0604, 35.0600,-10.0946
177.0200, -39.8200, 28.0000, 3.6200, 1985, 177.0315, -39.8325, 43.1630,-15.2802
178.3000, -38.6200, 26.0000, 3.3440, 1985, 178.3164, -38.6327, 40.4380,-14.6211
177.1600, -39.5100, 27.0000, 3.1250, 1985, 177.1751, -39.5295, 45.2680,-18.4727
178.7800, -37.7100, 32.0000, 3.5330, 1986, 178.7940, -37.7196, 44.1070,-12.2533
176.3100, -40.8700, 37.0000, 3.4050, 1986, 176.3129, -40.8734, 41.9390,-4.9639
178.8100, -37.7600, 28.0000, 3.8740, 1986, 178.8267, -37.7711, 43.0480,-15.2123
178.7800, -38.2100, 36.0000, 3.3850, 1986, 178.7826, -38.2111, 39.0670,-3.0830
174.5900, -41.8100, 29.0000, 3.3720, 1986, 174.6084, -41.8366, 47.1260,-18.4794
175.5260, -40.9680, 29.5000, 3.3030, 1986, 175.5457, -40.9849, 47.3580,-18.0897
174.5440, -41.7080, 32.7000, 3.0480, 1986, 174.5651, -41.7390, 49.6500,-17.4554
175.3530, -41.2440, 29.8000, 3.0480, 1986, 175.3678, -41.2545, 47.2740,-17.5901
177.1800, -39.4700, 29.0000, 3.0990, 1986, 177.1957, -39.4862, 45.6160,-16.8043
177.2100, -39.6500, 28.0000, 3.3540, 1986, 177.2177, -39.6637, 43.2610,-15.3607
176.3500, -40.9500, 31.0000, 3.2520, 1986, 176.3532, -40.9539, 41.3400,-10.3552
174.4390, -42.2684, 33.5900, 3.6960, 1987, 174.4480, -42.2732, 43.2080,-9.6846
177.4263, -38.7317, 40.0100, 3.2110, 1987, 177.4507, -38.7612, 52.7160,-13.4001
177.8642, -39.5067, 25.5500, 3.2160, 1987, 177.8721, -39.5155, 39.6750,-14.1861
179.0129, -37.5055, 28.0300, 3.4260, 1987, 179.0306, -37.5243, 43.2680,-15.5061
174.7895, -41.6215, 29.8000, 3.0500, 1987, 174.8086, -41.6490, 48.2660,-18.8376
177.9514, -38.6262, 38.2600, 3.3840, 1987, 177.9596, -38.6340, 45.4130,-7.2629
174.1577, -41.8833, 34.9600, 3.0760, 1987, 174.1803, -41.9161, 51.4550,-17.0793
177.2907, -39.5574, 30.0500, 3.1210, 1987, 177.2987, -39.5688, 43.5640,-13.6024
179.1744, -37.0705, 32.5000, 5.7000, 1987, 179.2023, -37.0957, 46.8650,-14.9609
177.6800, -39.3754, 23.0200, 3.1460, 1987, 177.6938, -39.3889, 41.8100,-18.9122
177.6194, -39.3921, 24.6100, 3.3460, 1987, 177.6298, -39.4022, 42.2540,-17.7175
177.5504, -39.1317, 28.0500, 3.2340, 1987, 177.5688, -39.1446, 44.9290,-17.0629
179.9269, -36.1159, 37.2100, 3.7350, 1987, 179.9416, -36.1250, 43.8430,-6.9060
174.6881, -42.0721, 34.4200, 3.5340, 1987, 174.6941, -42.0787, 42.0130,-7.6575
177.9933, -38.8465, 35.2800, 3.2440, 1987, 178.0018, -38.8519, 42.2390,-7.0485
177.8160, -38.6992, 32.0900, 3.4870, 1987, 177.8342, -38.7189, 46.1290,-14.3523
176.8837, -39.6374, 28.1000, 3.1290, 1987, 176.9048, -39.6610, 46.6660,-18.8968
178.2970, -38.5155, 31.4800, 3.0740, 1988, 178.3075, -38.5240, 41.8020,-10.4307
178.9697, -37.7128, 23.1600, 3.4590, 1988, 178.9874, -37.7294, 41.4650,-18.5028
176.2389, -40.3238, 38.3100, 3.6450, 1988, 176.2513, -40.3324, 47.5270,-9.3685
177.2985, -39.7418, 23.9400, 3.1000, 1988, 177.3076, -39.7560, 41.6750,-17.8339
178.7390, -39.1292, 26.9500, 4.0460, 1988, 178.7436, -39.1274, 33.1930,-6.2671
177.9424, -38.6421, 26.5800, 3.0130, 1988, 177.9640, -38.6622, 44.9540,-18.6646
176.4707, -40.9765, 31.9200, 3.1180, 1988, 176.4712, -40.9792, 40.8290,-8.9142
176.6726, -39.9868, 28.7700, 4.8840, 1988, 176.6899, -40.0011, 45.0720,-16.4919
176.5161, -41.3994, 22.2900, 3.4340, 1988, 176.5219, -41.4090, 38.5180,-16.2759
176.7346, -41.4333, 24.8900, 4.2180, 1988, 176.7416, -41.4467, 36.8940,-12.1211
176.2821, -41.2336, 28.6000, 3.0610, 1988, 176.2857, -41.2334, 40.5480,-11.9547
175.7002, -40.5220, 37.0800, 3.1030, 1988, 175.7268, -40.5540, 52.9520,-16.5327
175.8298, -40.7911, 35.4500, 3.0810, 1988, 175.8408, -40.8036, 46.0080,-10.7191
176.9434, -40.9779, 32.7800, 3.3780, 1988, 176.9444, -40.9816, 39.0860,-6.3204
178.5252, -37.7815, 31.6200, 3.2550, 1988, 178.5525, -37.8030, 47.0240,-15.8812
178.1076, -38.8179, 28.1400, 3.0280, 1988, 178.1206, -38.8269, 41.0310,-13.0103
177.8215, -39.0170, 38.0400, 3.0730, 1988, 177.8260, -39.0190, 42.9040,-4.8947
176.5357, -40.6814, 26.2400, 3.1830, 1989, 176.5423, -40.6857, 41.7930,-15.5776
175.5346, -41.0848, 30.0700, 3.4680, 1989, 175.5495, -41.0917, 46.3370,-16.3691
177.0338, -41.0065, 36.0500, 3.0870, 1989, 177.0358, -41.0057, 38.5760,-2.5373
174.5978, -41.7966, 30.3400, 3.9430, 1989, 174.6131, -41.8228, 47.3370,-17.3286
174.1332, -41.8288, 34.9000, 3.4020, 1989, 174.1578, -41.8642, 53.1200,-18.8400
178.1567, -38.8642, 26.3300, 3.3370, 1989, 178.1697, -38.8751, 40.0300,-13.8293
177.3447, -40.7737, 26.1800, 3.6800, 1989, 177.3500, -40.7778, 37.9340,-11.7776
177.0351, -39.9585, 37.3800, 3.1300, 1989, 177.0385, -39.9614, 41.9570,-4.6039
178.7985, -38.6848, 21.1500, 3.6440, 1989, 178.8065, -38.6918, 34.3720,-13.2747
176.9066, -40.3573, 27.0800, 3.0620, 1989, 176.9138, -40.3618, 40.4880,-13.4412
176.1002, -40.9675, 33.6400, 3.3790, 1989, 176.1050, -40.9714, 42.3100,-8.6972
176.4774, -40.6510, 25.8400, 3.7110, 1989, 176.4893, -40.6572, 42.2530,-16.4807
177.9815, -38.6771, 30.1600, 4.7140, 1989, 177.9988, -38.6936, 44.0360,-14.1283
176.4364, -40.4678, 33.8200, 6.2000, 1990, 176.4424, -40.4742, 43.6900,-9.9181
177.0510, -39.9250, 32.2900, 3.3040, 1990, 177.0549, -39.9320, 42.0660,-9.8165
175.8667, -40.7242, 32.1600, 4.2750, 1990, 175.8824, -40.7430, 46.4480,-14.5453
177.5201, -39.1770, 30.9000, 3.3970, 1990, 177.5356, -39.1873, 45.0270,-14.2778
178.6143, -38.8501, 24.8700, 3.9870, 1990, 178.6238, -38.8547, 35.1570,-10.3537
176.4708, -40.4267, 29.9900, 6.4000, 1990, 176.4814, -40.4336, 43.5640,-13.6467
173.7399, -42.3793, 29.9400, 3.7540, 1990, 173.7625, -42.4022, 48.6750,-19.0735
176.7570, -40.7141, 30.9600, 3.6830, 1990, 176.7609, -40.7133, 40.5430,-9.5932
173.9824, -42.1987, 36.5200, 3.4510, 1990, 173.9961, -42.2171, 48.3460,-12.0980
178.3775, -38.8984, 30.5400, 3.2580, 1990, 178.3815, -38.9024, 37.4700,-6.9585
177.2779, -39.7383, 25.0200, 3.0340, 1990, 177.2875, -39.7471, 41.8960,-16.9380
176.9189, -40.0344, 36.5000, 3.3420, 1990, 176.9249, -40.0368, 42.2570,-5.8017
178.1058, -38.3854, 36.6800, 3.1010, 1990, 178.1199, -38.4026, 46.5200,-10.1460
176.9691, -40.0678, 35.6500, 3.6790, 1990, 176.9711, -40.0730, 41.6060,-5.9881
178.3273, -38.3359, 30.2800, 3.1200, 1990, 178.3467, -38.3534, 43.5740,-13.6077
177.1071, -39.3574, 31.9700, 3.1340, 1990, 177.1281, -39.3774, 48.0640,-16.4139
176.8978, -39.6492, 38.4800, 3.1700, 1990, 176.9079, -39.6571, 46.6830,-8.3260
176.8213, -40.1133, 31.7000, 3.0100, 1990, 176.8312, -40.1212, 42.3700,-10.7625
176.5258, -40.4207, 39.1500, 3.6300, 1991, 176.5302, -40.4236, 43.1490,-4.0417
178.6436, -38.6376, 20.8700, 3.4000, 1991, 178.6566, -38.6451, 36.2040,-15.4245
178.8182, -38.2617, 20.9900, 3.1930, 1991, 178.8321, -38.2753, 37.8190,-16.9674
178.5033, -39.1477, 22.8500, 3.8950, 1991, 178.5133, -39.1494, 35.1780,-12.3795
178.1636, -38.6131, 29.7400, 3.1320, 1991, 178.1758, -38.6268, 42.3830,-12.8065
179.0302, -37.7746, 21.6900, 3.5900, 1991, 179.0478, -37.7883, 40.2070,-18.6823
178.0856, -37.9811, 39.0700, 3.1150, 1991, 178.1223, -38.0001, 54.8600,-16.4451
176.7906, -39.9943, 26.4200, 4.4430, 1991, 176.8042, -40.0097, 43.6510,-17.3818
175.6724, -40.5808, 36.0500, 4.0580, 1991, 175.6974, -40.6147, 52.0060,-16.6292
176.0281, -40.6117, 37.5300, 3.4420, 1991, 176.0392, -40.6226, 46.4900,-9.1255
178.0264, -39.3208, 27.7000, 3.0690, 1991, 178.0343, -39.3214, 39.2980,-11.6314
176.3064, -40.4406, 30.5500, 4.0520, 1991, 176.3182, -40.4510, 45.2590,-14.8126
176.0215, -40.9301, 29.5700, 3.4250, 1991, 176.0282, -40.9380, 42.9890,-13.4683
174.2633, -42.1673, 27.5200, 3.0400, 1991, 174.2762, -42.1840, 45.5110,-18.1434
177.4427, -39.1833, 38.3900, 3.1140, 1991, 177.4523, -39.1920, 46.1130,-7.8562
177.3114, -38.9677, 32.8700, 4.0800, 1991, 177.3363, -38.9879, 50.0620,-17.5578
176.9194, -39.7266, 36.4900, 3.1240, 1991, 176.9275, -39.7340, 45.3690,-8.9624
177.1944, -39.5381, 29.4500, 3.0250, 1991, 177.2088, -39.5549, 44.5900,-15.3386
177.9613, -38.4974, 38.5100, 3.0170, 1991, 177.9723, -38.5087, 47.2060,-8.8710
179.2058, -38.2553, 17.0600, 3.1150, 1991, 179.2219, -38.2642, 33.4160,-16.4834
178.2254, -38.4844, 25.8400, 3.2280, 1991, 178.2460, -38.5015, 42.9730,-17.3897
175.3542, -41.2483, 30.5400, 4.1480, 1991, 175.3678, -41.2545, 47.2740,-16.8163
179.2727, -37.0800, 29.5000, 4.9430, 1991, 179.2975, -37.1029, 44.7030,-15.6595
