lon,lat, dep, mag, year, slat, slon, sdep, dproj
167.0000, -45.0000, 25.0000, 5.5000, 1810, 167.0267, -45.0506, 10.2690,16.0460
167.0000, -45.0000, 25.0000, 7.5000, 1826, 167.0267, -45.0506, 10.2690,16.0460
167.0000, -45.0000, 47.0000, 7.0000, 1938, 167.1377, -45.1920, 24.8940,34.3354
168.5000, -45.5000, 100.0000, 4.7000, 1941, 168.2142, -44.8959, 132.0660,-80.9343
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.0267, -45.0506, 10.2690,16.0460
167.0000, -45.0000, 25.0000, 5.0000, 1941, 167.0267, -45.0506, 10.2690,16.0460
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.0267, -45.0506, 10.2690,16.0460
167.4300, -45.4600, 92.0000, 6.0430, 1949, 167.3420, -45.3881, 96.3980,-13.3795
167.9600, -44.9200, 175.0000, 5.2440, 1950, 168.0284, -45.1041, 165.3040,23.8940
165.0100, -47.9400, 99.0000, 4.3290, 1964, 165.2975, -48.1635, 61.9440,54.8886
168.4000, -45.7900, 161.0000, 4.9020, 1964, 168.4416, -45.3368, 211.2340,-71.3047
167.8000, -44.9900, 99.0000, 3.9100, 1964, 167.7854, -44.9658, 99.7670,-3.2349
167.5900, -44.9500, 82.0000, 3.5820, 1964, 167.6384, -45.0063, 79.4390,8.6437
167.6500, -45.0800, 104.0000, 4.0480, 1965, 167.6485, -45.0819, 104.0680,-0.2776
165.8100, -46.3000, 92.0000, 3.6890, 1965, 166.0166, -46.4475, 25.1870,72.5309
167.3600, -44.9400, 101.0000, 6.1310, 1965, 167.5536, -45.1301, 92.3480,31.3864
167.7800, -44.8700, 82.0000, 3.8660, 1965, 167.7935, -44.8951, 80.7580,3.4038
167.7700, -45.3300, 153.0000, 4.2070, 1966, 167.7012, -45.2638, 157.6290,-11.5818
168.0700, -45.0100, 150.0000, 5.2300, 1966, 168.0749, -45.0216, 149.1530,1.6365
167.5900, -45.0300, 93.0000, 3.1650, 1966, 167.6193, -45.0646, 91.4550,5.2729
167.8400, -44.9800, 114.0000, 3.9050, 1966, 167.8424, -44.9822, 113.8120,0.4079
167.3100, -45.2900, 111.0000, 3.1340, 1966, 167.4026, -45.3600, 106.6350,13.6257
167.6500, -45.0200, 83.0000, 3.4270, 1966, 167.6434, -45.0150, 83.1760,-0.9374
167.5500, -45.1000, 89.0000, 3.5950, 1966, 167.5600, -45.1107, 88.6670,1.6622
167.5900, -45.0200, 103.0000, 3.3240, 1966, 167.6401, -45.0769, 100.4950,8.7943
167.6600, -45.0400, 106.0000, 3.1460, 1966, 167.6748, -45.0626, 105.0740,3.1434
167.4300, -45.3000, 120.0000, 3.6020, 1966, 167.4706, -45.3306, 118.3380,5.8924
168.2300, -44.5900, 85.0000, 3.1960, 1966, 168.2599, -44.6333, 82.1620,6.5031
167.6300, -45.1600, 104.0000, 3.4900, 1966, 167.6020, -45.1298, 105.3200,-4.7658
167.7200, -45.1300, 99.0000, 3.2850, 1966, 167.6632, -45.0616, 101.9370,-10.3133
167.9600, -45.2500, 115.0000, 3.6490, 1966, 167.8474, -45.0200, 125.1440,-30.2281
167.4200, -45.3100, 119.0000, 3.2850, 1966, 167.4583, -45.3407, 117.2990,5.7170
167.6200, -45.0400, 128.0000, 3.2360, 1966, 167.6915, -45.1190, 124.1550,12.4563
167.4100, -45.1000, 96.0000, 3.3300, 1966, 167.4988, -45.1848, 91.6990,14.3146
167.4500, -45.2800, 91.0000, 4.0090, 1966, 167.4305, -45.2604, 91.7310,-3.1600
167.6700, -45.0400, 118.0000, 5.1330, 1966, 167.7033, -45.0795, 116.2900,5.9938
167.7400, -44.8900, 94.0000, 4.2760, 1966, 167.7723, -44.9464, 91.5990,7.6154
167.0200, -45.4400, 77.0000, 3.4070, 1966, 167.1281, -45.5175, 69.6070,16.5349
166.4200, -46.7900, 92.0000, 3.3980, 1966, 166.5149, -46.8444, 84.0670,14.5216
167.6200, -45.0400, 89.0000, 3.0050, 1967, 167.6289, -45.0470, 88.8910,1.2638
167.1800, -45.3900, 90.0000, 4.0340, 1967, 167.2556, -45.4474, 85.8000,11.3598
167.6200, -44.8800, 78.0000, 3.5590, 1967, 167.6800, -44.9555, 74.7050,11.2182
167.5900, -45.0600, 106.0000, 3.7010, 1967, 167.6296, -45.0997, 104.1100,6.5153
167.2900, -45.2400, 82.0000, 3.4790, 1967, 167.3522, -45.2955, 78.9400,9.7614
167.6800, -45.0800, 120.0000, 3.2480, 1967, 167.6948, -45.0977, 119.4380,2.6264
167.5700, -45.1100, 124.0000, 3.0010, 1967, 167.6253, -45.1667, 120.9750,9.3119
167.6000, -44.9700, 99.0000, 3.8770, 1967, 167.6617, -45.0433, 96.1140,11.0377
167.2300, -45.3500, 90.0000, 3.4250, 1967, 167.2948, -45.4009, 86.7640,9.7172
167.4700, -45.1500, 84.0000, 3.1890, 1967, 167.4867, -45.1660, 83.4420,2.6315
167.6300, -45.1400, 112.0000, 3.1500, 1967, 167.6259, -45.1323, 112.0790,-0.9732
167.6700, -45.1200, 125.0000, 3.0700, 1967, 167.6812, -45.1302, 124.6470,1.7210
166.4500, -45.1900, 26.0000, 3.6700, 1967, 166.4761, -45.2204, 4.6840,21.7766
167.5200, -45.0900, 93.0000, 3.3470, 1967, 167.5551, -45.1252, 91.3890,5.7574
167.4700, -44.9900, 97.0000, 3.4010, 1967, 167.5784, -45.1042, 91.8670,18.2452
167.4800, -45.1700, 100.0000, 3.8170, 1967, 167.5114, -45.1980, 98.6340,4.8734
167.5800, -44.9600, 110.0000, 4.1160, 1967, 167.6705, -45.0659, 105.0340,16.2663
167.7300, -45.2700, 115.0000, 3.3170, 1968, 167.6278, -45.1625, 120.4890,-17.3827
167.6100, -45.0000, 111.0000, 3.4810, 1968, 167.6739, -45.0737, 108.1700,11.2096
167.2100, -45.0200, 162.0000, 4.3490, 1968, 167.5815, -45.3148, 142.3470,56.2780
167.4800, -45.0700, 119.0000, 3.4030, 1968, 167.5892, -45.1744, 113.9360,17.5456
167.5900, -45.0000, 111.0000, 4.2560, 1968, 167.6609, -45.0834, 107.6740,12.6181
167.4700, -45.1900, 103.0000, 3.8330, 1968, 167.5005, -45.2206, 101.4110,5.0601
167.3100, -45.3300, 91.0000, 3.5530, 1968, 167.3395, -45.3576, 89.3770,4.7763
166.5900, -45.1900, 39.9000, 5.1760, 1968, 166.6876, -45.2870, 12.2660,31.5872
167.7000, -44.8100, 110.0000, 3.9120, 1968, 167.7952, -44.9716, 103.2380,21.9242
167.8100, -44.9900, 133.0000, 3.5100, 1968, 167.8389, -45.0439, 130.5010,7.2452
