lon,lat, dep, mag, year, slat, slon, sdep, dproj
167.0000, -45.0000, 47.0000, 7.0000, 1938, 167.2567, -45.2438, 47.0371,-0.3560
167.4300, -45.4600, 92.0000, 6.0430, 1949, 167.3443, -45.3630, 91.7633,0.2698
167.9600, -44.9200, 175.0000, 5.2440, 1950, 168.0811, -45.1280, 175.0902,-0.2570
165.0100, -47.9400, 99.0000, 4.3290, 1964, 165.5036, -48.3668, 98.9610,0.6537
167.8000, -44.9900, 99.0000, 3.9100, 1964, 167.7709, -44.9724, 99.1001,-0.1057
167.5900, -44.9500, 82.0000, 3.5820, 1964, 167.5564, -45.0908, 82.1432,-0.2036
167.6500, -45.0800, 104.0000, 4.0480, 1965, 167.6400, -45.0896, 104.0228,-0.0267
165.8100, -46.3000, 92.0000, 3.6890, 1965, 166.6769, -46.6462, 91.9631,0.9342
167.3600, -44.9400, 101.0000, 6.1310, 1965, 167.4897, -45.2303, 100.9068,0.3314
168.0700, -45.0100, 150.0000, 5.2300, 1966, 168.0052, -45.0503, 149.9949,0.0764
168.2300, -44.5900, 85.0000, 3.1960, 1966, 168.2185, -44.6746, 84.9556,0.0962
166.4200, -46.7900, 92.0000, 3.3980, 1966, 166.6769, -46.6462, 91.9631,0.2968
167.6200, -45.0400, 89.0000, 3.0050, 1967, 167.6800, -45.0050, 89.0565,-0.0895
167.1800, -45.3900, 90.0000, 4.0340, 1967, 167.3105, -45.3968, 89.9869,0.1313
167.5900, -45.0600, 106.0000, 3.7010, 1967, 167.5905, -45.1430, 106.0318,-0.0889
167.6800, -45.0800, 120.0000, 3.2480, 1967, 167.6100, -45.1769, 119.9447,0.1317
167.6000, -44.9700, 99.0000, 3.8770, 1967, 167.6449, -45.0671, 98.9075,0.1414
167.2300, -45.3500, 90.0000, 3.4250, 1967, 167.3105, -45.3968, 89.9869,0.0941
167.5200, -45.0900, 93.0000, 3.3470, 1967, 167.6358, -45.0550, 93.0895,-0.1504
167.4800, -45.1700, 100.0000, 3.8170, 1967, 167.5155, -45.1991, 100.0324,-0.0562
167.5800, -44.9600, 110.0000, 4.1160, 1967, 167.7496, -45.0239, 109.9654,0.1846
167.2100, -45.0200, 162.0000, 4.3490, 1968, 167.6285, -45.3728, 161.9509,0.5496
167.3000, -45.4800, 106.0000, 3.4050, 1968, 167.3049, -45.4956, 105.9568,0.0462
165.6000, -46.5000, 95.0000, 3.2600, 1968, 166.5120, -46.9799, 95.0039,-1.0305
167.8500, -45.0600, 132.0000, 3.3350, 1968, 167.9197, -45.0128, 131.9035,0.1281
167.6200, -45.1800, 146.0000, 4.5300, 1968, 167.6403, -45.2662, 145.9925,0.0889
168.2900, -44.6400, 87.0000, 3.5230, 1968, 168.2890, -44.6414, 87.0793,-0.0793
166.9500, -45.5500, 90.0000, 3.2230, 1968, 167.1670, -45.6209, 90.0118,-0.2286
167.5700, -45.0800, 101.0000, 3.4500, 1968, 167.6722, -45.0506, 100.8538,0.1808
167.6500, -44.9900, 116.0000, 4.1060, 1968, 167.7328, -45.0575, 116.0629,-0.1240
167.4700, -45.0900, 134.0000, 5.3780, 1969, 167.5728, -45.2814, 133.8810,0.2477
167.7200, -45.0000, 123.0000, 3.6810, 1969, 167.7053, -45.1025, 122.9697,0.1079
168.2800, -44.6700, 84.0000, 3.1650, 1970, 168.2603, -44.6431, 84.0170,-0.0374
167.7000, -45.0800, 127.0000, 4.8180, 1970, 167.7492, -45.0858, 126.9264,0.0887
167.6500, -45.1000, 123.0000, 4.0150, 1970, 167.7053, -45.1025, 122.9697,0.0631
167.7500, -44.9400, 105.0000, 3.6790, 1970, 167.8815, -44.9309, 104.9774,0.1337
167.6400, -45.0900, 137.0000, 3.1740, 1970, 167.7106, -45.1564, 137.0337,-0.1026
167.6200, -45.1100, 122.0000, 3.4050, 1970, 167.6644, -45.1344, 121.8875,0.1234
167.5100, -45.0200, 100.0000, 4.4710, 1970, 167.5437, -45.1686, 99.9887,0.1528
167.6900, -45.0800, 123.0000, 3.2350, 1971, 167.7053, -45.1025, 122.9697,0.0407
167.3800, -45.2500, 103.0000, 3.2250, 1971, 167.4526, -45.2824, 102.9833,0.0812
167.7300, -44.9000, 94.0000, 3.3230, 1971, 167.7628, -44.9607, 94.0116,-0.0699
167.2600, -45.8700, 134.0000, 4.7320, 1971, 167.3028, -45.8721, 134.1364,-0.1430
167.7500, -45.1200, 120.0000, 3.3260, 1971, 167.8153, -45.0179, 120.0348,-0.1262
166.9800, -45.2300, 67.0000, 3.5750, 1971, 167.1689, -45.4495, 66.9882,0.2898
167.2600, -45.3500, 88.0000, 3.2400, 1971, 167.2744, -45.4349, 88.1344,-0.1596
167.6200, -45.1200, 115.0000, 3.4990, 1972, 167.6419, -45.1283, 114.9600,0.0463
167.6300, -44.9900, 88.0000, 3.4480, 1972, 167.7038, -44.9828, 87.9902,0.0748
167.5100, -45.1000, 91.0000, 3.2910, 1972, 167.5181, -45.1616, 90.9356,0.0895
167.5200, -45.0200, 107.0000, 3.3480, 1972, 167.6570, -45.0847, 107.0089,-0.1517
167.4700, -45.0900, 96.0000, 4.0880, 1972, 167.6282, -45.0721, 95.9760,0.1610
167.7200, -44.8800, 145.0000, 3.2570, 1972, 167.7861, -45.1339, 145.0800,-0.2743
165.1600, -46.7100, 139.0000, 3.1440, 1972, 166.4639, -47.5017, 138.9487,1.5263
167.5500, -45.1400, 102.0000, 3.0710, 1972, 167.5182, -45.2046, 102.1997,-0.2123
167.2200, -45.4600, 86.0000, 3.0460, 1972, 167.2103, -45.5132, 85.9792,0.0579
167.4900, -45.2700, 104.0000, 3.2390, 1972, 167.5623, -45.1640, 104.0622,-0.1426
167.6900, -45.0500, 123.0000, 3.5450, 1972, 167.7053, -45.1025, 122.9697,0.0625
167.7100, -45.0200, 117.0000, 4.9690, 1973, 167.7219, -45.0689, 117.0916,-0.1045
167.4300, -45.4400, 106.0000, 3.4010, 1973, 167.3049, -45.4956, 105.9568,0.1436
167.3600, -45.1000, 94.0000, 3.5530, 1973, 167.4800, -45.2134, 93.8740,0.2077
167.6500, -45.0500, 117.0000, 4.5370, 1973, 167.7219, -45.0689, 117.0916,-0.1180
167.3400, -45.5100, 120.0000, 3.2830, 1973, 167.3763, -45.4719, 119.9908,0.0535
167.5900, -45.0900, 133.0000, 3.6280, 1973, 167.6669, -45.1780, 133.0599,-0.1313
167.0200, -45.8500, 84.0000, 3.8690, 1973, 167.0761, -45.7685, 84.0254,-0.1022
167.5900, -45.0200, 126.0000, 3.6000, 1974, 167.7350, -45.0915, 125.8677,0.2089
167.0600, -45.3600, 91.0000, 3.1250, 1974, 167.2316, -45.5141, 91.0691,-0.2408
