lon,lat, dep, mag, year, slat, slon, sdep, dproj
167.0000, -45.0000, 25.0000, 5.5000, 1810, 167.1187, -45.2065, 24.9920,0.2383
167.0000, -45.0000, 25.0000, 7.5000, 1826, 167.1187, -45.2065, 24.9920,0.2383
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.1187, -45.2065, 24.9920,0.2383
167.0000, -45.0000, 25.0000, 5.0000, 1941, 167.1187, -45.2065, 24.9920,0.2383
166.4500, -45.1900, 26.0000, 3.6700, 1967, 166.7669, -45.4608, 26.0055,-0.4168
166.5900, -45.1900, 39.9000, 5.1760, 1968, 166.9395, -45.4738, 39.9107,-0.4504
167.5500, -44.5300, 28.0000, 3.4950, 1984, 167.6986, -44.6711, 28.0445,-0.2097
167.2671, -44.8530, 28.7700, 3.1510, 1991, 167.4406, -44.9544, 28.7876,-0.2017
166.7714, -45.1272, 21.6300, 3.7840, 1992, 166.8996, -45.2908, 21.6386,-0.2080
166.2190, -45.8628, 19.8900, 3.5150, 1993, 166.3441, -45.9985, 19.9445,-0.1925
166.7085, -45.2138, 22.0000, 6.8000, 1993, 166.7903, -45.3714, 21.9937,0.1776
167.5087, -44.6962, 39.6800, 3.0030, 1996, 167.6215, -44.8459, 39.6165,0.1979
164.8661, -47.6095, 27.0000, 3.2760, 2000, 165.1261, -47.8059, 26.9892,0.3261
166.8121, -45.0597, 18.2800, 3.2540, 2000, 166.8956, -45.2466, 18.2552,0.2062
166.9672, -44.8555, 17.0300, 4.1120, 2000, 167.1586, -45.0882, 17.0187,0.3015
165.0169, -47.4110, 34.8100, 3.0100, 2000, 165.3574, -47.6548, 34.8115,-0.4188
167.0585, -44.9002, 20.9900, 3.7000, 2000, 167.1818, -45.1184, 20.9905,-0.2506
165.0425, -47.6704, 30.2600, 3.5340, 2000, 165.1972, -47.7763, 30.2725,-0.1879
166.9462, -45.1172, 25.0000, 6.1000, 2000, 167.0225, -45.2666, 25.0070,-0.1679
165.2693, -46.7494, 38.9100, 3.4560, 2001, 165.8576, -47.1864, 38.8904,0.7331
166.8103, -45.1510, 34.0200, 4.5060, 2002, 166.9962, -45.3695, 33.9812,0.2895
165.1882, -46.7352, 39.1200, 3.0890, 2002, 165.8334, -47.2232, 39.1202,-0.8089
166.4135, -45.4738, 22.2100, 3.6210, 2002, 166.5926, -45.6628, 22.2348,-0.2616
167.4012, -44.8501, 38.9700, 3.4510, 2003, 167.4900, -44.9725, 39.0165,-0.1583
