lon, lat, rate
165.7500, -46.1500, 0.000424
165.8500, -46.2500, 0.000423
165.8500, -46.1500, 0.000424
165.8500, -46.0500, 0.000425
165.8500, -45.9500, 0.000426
165.8500, -45.8500, 0.000427
165.8500, -45.7500, 0.000427
165.8500, -45.6500, 0.000428
165.8500, -45.5500, 0.000429
165.9500, -46.3500, 0.000423
165.9500, -46.2500, 0.000423
165.9500, -46.1500, 0.000424
165.9500, -46.0500, 0.000425
165.9500, -45.9500, 0.000426
165.9500, -45.8500, 0.000427
165.9500, -45.7500, 0.000427
165.9500, -45.6500, 0.000428
165.9500, -45.5500, 0.000429
165.9500, -45.4500, 0.000430
166.0500, -46.4500, 0.000422
166.0500, -46.3500, 0.000423
166.0500, -46.2500, 0.000423
166.0500, -46.1500, 0.000424
166.0500, -46.0500, 0.000425
166.0500, -45.9500, 0.000426
166.0500, -45.8500, 0.000427
166.0500, -45.7500, 0.000427
166.0500, -45.6500, 0.000428
166.0500, -45.5500, 0.000429
166.0500, -45.4500, 0.000430
166.0500, -45.3500, 0.000430
166.1500, -46.5500, 0.000421
166.1500, -46.4500, 0.000422
166.1500, -46.3500, 0.000423
166.1500, -46.2500, 0.000423
166.1500, -46.1500, 0.000424
166.1500, -46.0500, 0.000425
166.1500, -45.9500, 0.000426
166.1500, -45.8500, 0.000427
166.1500, -45.7500, 0.000427
166.1500, -45.6500, 0.000428
166.1500, -45.5500, 0.000429
166.1500, -45.4500, 0.000430
166.1500, -45.3500, 0.000430
166.1500, -45.2500, 0.000431
166.2500, -46.6500, 0.000128
166.2500, -46.5500, 0.000125
166.2500, -46.4500, 0.000158
166.2500, -46.3500, 0.000423
166.2500, -46.2500, 0.000423
166.2500, -46.1500, 0.000424
166.2500, -46.0500, 0.000425
166.2500, -45.9500, 0.000426
166.2500, -45.8500, 0.000427
166.2500, -45.7500, 0.000427
166.2500, -45.6500, 0.000428
166.2500, -45.5500, 0.000429
166.2500, -45.4500, 0.000430
166.2500, -45.3500, 0.000430
166.2500, -45.2500, 0.000432
166.2500, -45.1500, 0.000432
166.3500, -46.8500, 0.000122
166.3500, -46.7500, 0.000122
166.3500, -46.6500, 0.000122
166.3500, -46.5500, 0.000123
166.3500, -46.4500, 0.000150
166.3500, -46.3500, 0.000156
166.3500, -46.2500, 0.000423
166.3500, -46.1500, 0.000424
166.3500, -46.0500, 0.000425
166.3500, -45.9500, 0.000426
166.3500, -45.8500, 0.000427
166.3500, -45.7500, 0.000427
166.3500, -45.6500, 0.000428
166.3500, -45.5500, 0.000429
166.3500, -45.4500, 0.000458
166.3500, -45.3500, 0.000456
166.3500, -45.2500, 0.000489
166.3500, -45.1500, 0.000467
166.3500, -45.0500, 0.000433
166.4500, -46.9500, 0.000122
166.4500, -46.8500, 0.000122
166.4500, -46.7500, 0.000122
166.4500, -46.6500, 0.000122
166.4500, -46.5500, 0.000132
166.4500, -46.4500, 0.000150
166.4500, -46.3500, 0.000144
166.4500, -46.2500, 0.000154
166.4500, -46.1500, 0.000424
166.4500, -46.0500, 0.000425
166.4500, -45.9500, 0.000426
166.4500, -45.8500, 0.000427
166.4500, -45.7500, 0.000427
166.4500, -45.6500, 0.000428
166.4500, -45.5500, 0.000429
166.4500, -45.4500, 0.000458
166.4500, -45.3500, 0.000512
166.4500, -45.2500, 0.000527
166.4500, -45.1500, 0.000479
166.4500, -45.0500, 0.000433
166.4500, -44.9500, 0.000433
166.5500, -47.0500, 0.000059
166.5500, -46.9500, 0.000062
166.5500, -46.8500, 0.000067
166.5500, -46.7500, 0.000076
166.5500, -46.6500, 0.000122
166.5500, -46.5500, 0.000184
166.5500, -46.4500, 0.000159
166.5500, -46.3500, 0.000133
166.5500, -46.2500, 0.000139
166.5500, -46.1500, 0.000156
166.5500, -46.0500, 0.000176
166.5500, -45.9500, 0.000426
166.5500, -45.8500, 0.000427
166.5500, -45.7500, 0.000470
166.5500, -45.6500, 0.000428
166.5500, -45.5500, 0.000429
166.5500, -45.4500, 0.000443
166.5500, -45.3500, 0.000556
166.5500, -45.2500, 0.000627
166.5500, -45.1500, 0.000564
166.5500, -45.0500, 0.000451
166.5500, -44.9500, 0.000433
166.5500, -44.8500, 0.000434
166.6500, -47.1500, 0.000051
166.6500, -47.0500, 0.000051
166.6500, -46.9500, 0.000054
166.6500, -46.8500, 0.000059
166.6500, -46.7500, 0.000067
166.6500, -46.6500, 0.000088
166.6500, -46.5500, 0.000149
166.6500, -46.4500, 0.000143
166.6500, -46.3500, 0.000123
166.6500, -46.2500, 0.000127
166.6500, -46.1500, 0.000144
166.6500, -46.0500, 0.000161
166.6500, -45.9500, 0.000194
166.6500, -45.8500, 0.000427
166.6500, -45.7500, 0.000454
166.6500, -45.6500, 0.000471
166.6500, -45.5500, 0.000429
166.6500, -45.4500, 0.000443
166.6500, -45.3500, 0.000604
166.6500, -45.2500, 0.000814
166.6500, -45.1500, 0.000751
166.6500, -45.0500, 0.000538
166.6500, -44.9500, 0.000433
166.6500, -44.8500, 0.000434
166.6500, -44.7500, 0.000435
166.7500, -47.2500, 0.000051
166.7500, -47.1500, 0.000051
166.7500, -47.0500, 0.000051
166.7500, -46.9500, 0.000051
166.7500, -46.8500, 0.000052
166.7500, -46.7500, 0.000059
166.7500, -46.6500, 0.000072
166.7500, -46.5500, 0.000104
166.7500, -46.4500, 0.000111
166.7500, -46.3500, 0.000109
166.7500, -46.2500, 0.000119
166.7500, -46.1500, 0.000145
166.7500, -46.0500, 0.000149
166.7500, -45.9500, 0.000173
166.7500, -45.8500, 0.000427
166.7500, -45.7500, 0.000427
166.7500, -45.6500, 0.000428
166.7500, -45.5500, 0.000429
166.7500, -45.4500, 0.000439
166.7500, -45.3500, 0.000645
166.7500, -45.2500, 0.000940
166.7500, -45.1500, 0.000964
166.7500, -45.0500, 0.000651
166.7500, -44.9500, 0.000465
166.7500, -44.8500, 0.000434
166.7500, -44.7500, 0.000435
166.7500, -44.6500, 0.000436
166.8500, -47.3500, 0.000051
166.8500, -47.2500, 0.000051
166.8500, -47.1500, 0.000051
166.8500, -47.0500, 0.000051
166.8500, -46.9500, 0.000051
166.8500, -46.8500, 0.000051
166.8500, -46.7500, 0.000052
166.8500, -46.6500, 0.000071
166.8500, -46.5500, 0.000082
166.8500, -46.4500, 0.000090
166.8500, -46.3500, 0.000095
166.8500, -46.2500, 0.000108
166.8500, -46.1500, 0.000129
166.8500, -46.0500, 0.000132
166.8500, -45.9500, 0.000150
166.8500, -45.8500, 0.000186
166.8500, -45.7500, 0.000427
166.8500, -45.6500, 0.000428
166.8500, -45.5500, 0.000429
166.8500, -45.4500, 0.000430
166.8500, -45.3500, 0.000597
166.8500, -45.2500, 0.000869
166.8500, -45.1500, 0.001011
166.8500, -45.0500, 0.000751
166.8500, -44.9500, 0.000519
166.8500, -44.8500, 0.000434
166.8500, -44.7500, 0.000435
166.8500, -44.6500, 0.000436
166.8500, -44.5500, 0.000436
166.9500, -47.5500, 0.000050
166.9500, -47.4500, 0.000050
166.9500, -47.3500, 0.000051
166.9500, -47.2500, 0.000051
166.9500, -47.1500, 0.000051
166.9500, -47.0500, 0.000051
166.9500, -46.9500, 0.000051
166.9500, -46.8500, 0.000051
166.9500, -46.7500, 0.000051
166.9500, -46.6500, 0.000062
166.9500, -46.5500, 0.000071
166.9500, -46.4500, 0.000078
166.9500, -46.3500, 0.000085
166.9500, -46.2500, 0.000095
166.9500, -46.1500, 0.000105
166.9500, -46.0500, 0.000114
