lon,lat,dep,rate
181.0932,-35.3424,37.292,0.0002676660
180.9903,-35.2982,37.812,0.0002676660
180.8882,-35.2565,38.472,0.0002676660
180.7874,-35.2180,39.415,0.0002676660
180.6879,-35.1830,40.639,0.0002676660
180.5902,-35.1509,42.303,0.0002676660
180.4940,-35.1209,44.456,0.0002676660
180.3999,-35.0915,47.237,0.0002676660
180.3079,-35.0615,50.715,0.0002676660
180.2181,-35.0305,54.880,0.0002676660
180.1305,-34.9984,59.699,0.0002676660
180.0451,-34.9657,65.044,0.0002676660
179.9617,-34.9327,70.836,0.0002676660
179.8804,-34.9000,76.956,0.0002676660
179.8011,-34.8677,83.359,0.0002676660
179.7236,-34.8359,89.992,0.0002676660
179.6482,-34.8047,96.846,0.0002676660
179.5747,-34.7740,103.899,0.0002676660
181.0328,-35.4284,37.272,0.0002676660
180.9304,-35.3841,37.735,0.0002676660
180.8295,-35.3422,38.349,0.0002676660
180.7300,-35.3037,39.185,0.0002676660
180.6323,-35.2687,40.291,0.0002676660
180.5366,-35.2368,41.813,0.0002676660
180.4424,-35.2070,43.809,0.0002676660
180.3503,-35.1778,46.448,0.0002676660
180.2598,-35.1480,49.800,0.0002676660
180.1713,-35.1171,53.874,0.0002676660
180.0846,-35.0852,58.625,0.0002676660
179.9998,-35.0525,63.929,0.0002676660
179.9169,-35.0197,69.677,0.0002676660
179.8359,-34.9872,75.759,0.0002676660
179.7567,-34.9552,82.100,0.0002676660
179.6797,-34.9239,88.689,0.0002676660
179.6044,-34.8932,95.475,0.0002676660
179.5312,-34.8630,102.489,0.0002676660
179.4604,-34.8332,109.769,0.0002676660
179.3907,-34.8039,117.188,0.0002676660
179.3230,-34.7749,124.837,0.0002676660
179.2570,-34.7463,132.660,0.0002676660
179.1920,-34.7180,140.601,0.0002676660
179.1288,-34.6901,148.696,0.0002676660
179.0666,-34.6625,156.883,0.0002676660
179.0054,-34.6352,165.146,0.0002676660
178.9455,-34.6082,173.489,0.0002676660
178.8865,-34.5815,181.872,0.0002676660
178.8284,-34.5551,190.278,0.0002676660
178.7714,-34.5290,198.693,0.0002676660
178.7151,-34.5033,207.088,0.0002676660
178.6597,-34.4778,215.430,0.0002676660
178.6053,-34.4527,223.690,0.0002676660
178.5518,-34.4279,231.824,0.0002676660
180.9708,-35.5150,37.324,0.0002676660
180.8688,-35.4710,37.809,0.0002676660
180.7686,-35.4294,38.468,0.0002676660
180.6702,-35.3912,39.343,0.0002676660
180.5742,-35.3561,40.505,0.0002676660
180.4806,-35.3239,42.065,0.0002676660
180.3891,-35.2934,44.113,0.0002676660
180.2999,-35.2633,46.784,0.0002676660
180.2119,-35.2327,50.144,0.0002676660
180.1256,-35.2011,54.214,0.0002676660
180.0407,-35.1687,58.925,0.0002676660
179.9571,-35.1360,64.177,0.0002676660
179.8753,-35.1032,69.854,0.0002676660
179.7951,-35.0709,75.857,0.0002676660
179.7167,-35.0392,82.114,0.0002676660
179.6403,-35.0082,88.625,0.0002676660
179.5655,-34.9780,95.333,0.0002676660
179.4929,-34.9482,102.296,0.0002676660
179.4224,-34.9188,109.528,0.0002676660
179.3530,-34.8900,116.920,0.0002676660
179.2857,-34.8614,124.568,0.0002676660
179.2197,-34.8332,132.390,0.0002676660
179.1549,-34.8053,140.355,0.0002676660
179.0918,-34.7777,148.506,0.0002676660
179.0293,-34.7505,156.736,0.0002676660
178.9681,-34.7236,165.082,0.0002676660
178.9084,-34.6968,173.555,0.0002676660
178.8487,-34.6706,182.057,0.0002676660
178.7904,-34.6445,190.630,0.0002676660
178.7336,-34.6184,199.282,0.0002676660
178.6767,-34.5930,207.931,0.0002676660
178.6208,-34.5678,216.572,0.0002676660
178.5666,-34.5427,225.199,0.0002676660
178.5125,-34.5182,233.774,0.0002676660
178.4593,-34.4940,242.269,0.0002676660
181.0111,-35.6470,36.740,0.0002676660
180.9077,-35.6019,37.301,0.0002676660
180.8054,-35.5584,37.812,0.0002676660
180.7048,-35.5176,38.512,0.0002676660
180.6062,-35.4800,39.453,0.0002676660
180.5104,-35.4455,40.701,0.0002676660
180.4173,-35.4134,42.355,0.0002676660
180.3268,-35.3826,44.522,0.0002676660
180.2390,-35.3518,47.316,0.0002676660
180.1529,-35.3203,50.794,0.0002676660
180.0688,-35.2877,54.964,0.0002676660
179.9861,-35.2544,59.741,0.0002676660
179.9048,-35.2209,65.025,0.0002676660
179.8253,-35.1876,70.709,0.0002676660
179.7473,-35.1549,76.694,0.0002676660
179.6714,-35.1228,82.948,0.0002676660
179.5969,-35.0917,89.431,0.0002676660
179.5248,-35.0610,96.157,0.0002676660
179.4538,-35.0312,103.124,0.0002676660
179.3845,-35.0018,110.328,0.0002676660
179.3170,-34.9727,117.763,0.0002676660
179.2500,-34.9443,125.405,0.0002676660
179.1850,-34.9160,133.240,0.0002676660
179.1211,-34.8881,141.239,0.0002676660
179.0576,-34.8609,149.385,0.0002676660
178.9956,-34.8337,157.642,0.0002676660
178.9346,-34.8069,166.030,0.0002676660
178.8744,-34.7804,174.538,0.0002676660
178.8147,-34.7543,183.099,0.0002676660
178.7562,-34.7284,191.762,0.0002676660
178.6989,-34.7027,200.525,0.0002676660
178.6415,-34.6774,209.314,0.0002676660
178.5852,-34.6524,218.145,0.0002676660
178.5303,-34.6276,227.020,0.0002676660
178.4756,-34.6033,235.924,0.0002676660
178.4217,-34.5794,244.872,0.0002676660
180.9488,-35.7335,36.744,0.0002676660
180.8451,-35.6886,37.238,0.0002676660
180.7424,-35.6457,37.774,0.0002676660
180.6412,-35.6057,38.520,0.0002676660
180.5420,-35.5690,39.516,0.0002676660
180.4453,-35.5353,40.837,0.0002676660
180.3511,-35.5039,42.581,0.0002676660
180.2599,-35.4734,44.864,0.0002676660
180.1712,-35.4427,47.781,0.0002676660
180.0850,-35.4109,51.389,0.0002676660
180.0008,-35.3780,55.669,0.0002676660
179.9187,-35.3443,60.528,0.0002676660
179.8387,-35.3103,65.872,0.0002676660
179.7605,-35.2767,71.580,0.0002676660
