lon,lat,dep,rate
181.0951,-35.3472,48.278,0.0000535332
180.9928,-35.3049,48.783,0.0000535332
180.8916,-35.2661,49.413,0.0000535332
180.7922,-35.2317,50.296,0.0000535332
180.6942,-35.2019,51.414,0.0000535332
180.5982,-35.1761,52.907,0.0000535332
180.5038,-35.1528,54.820,0.0000535332
180.4113,-35.1298,57.312,0.0000535332
180.3207,-35.1057,60.477,0.0000535332
180.2319,-35.0795,64.338,0.0000535332
180.1451,-35.0514,68.880,0.0000535332
180.0603,-35.0220,73.975,0.0000535332
179.9775,-34.9917,79.540,0.0000535332
179.8965,-34.9614,85.443,0.0000535332
179.8176,-34.9313,91.636,0.0000535332
179.7405,-34.9016,98.061,0.0000535332
179.6654,-34.8723,104.710,0.0000535332
179.5921,-34.8434,111.564,0.0000535332
181.0352,-35.4333,48.256,0.0000535332
180.9338,-35.3909,48.704,0.0000535332
180.8342,-35.3519,49.286,0.0000535332
180.7366,-35.3175,50.058,0.0000535332
180.6410,-35.2877,51.051,0.0000535332
180.5478,-35.2620,52.390,0.0000535332
180.4562,-35.2390,54.131,0.0000535332
180.3663,-35.2162,56.463,0.0000535332
180.2777,-35.1923,59.489,0.0000535332
180.1904,-35.1662,63.253,0.0000535332
180.1046,-35.1381,67.725,0.0000535332
180.0204,-35.1086,72.782,0.0000535332
179.9379,-35.0785,78.308,0.0000535332
179.8573,-35.0483,84.176,0.0000535332
179.7782,-35.0186,90.307,0.0000535332
179.7014,-34.9893,96.685,0.0000535332
179.6264,-34.9606,103.259,0.0000535332
179.5533,-34.9322,110.069,0.0000535332
179.4828,-34.9040,117.155,0.0000535332
179.4131,-34.8762,124.391,0.0000535332
179.3457,-34.8485,131.873,0.0000535332
179.2798,-34.8210,139.544,0.0000535332
179.2149,-34.7938,147.344,0.0000535332
179.1518,-34.7667,155.310,0.0000535332
179.0896,-34.7399,163.378,0.0000535332
179.0285,-34.7134,171.530,0.0000535332
178.9687,-34.6870,179.772,0.0000535332
178.9098,-34.6609,188.060,0.0000535332
178.8518,-34.6351,196.375,0.0000535332
178.7948,-34.6095,204.705,0.0000535332
178.7387,-34.5842,213.016,0.0000535332
178.6835,-34.5592,221.276,0.0000535332
178.6293,-34.5345,229.452,0.0000535332
178.5760,-34.5101,237.504,0.0000535332
180.9733,-35.5203,48.305,0.0000535332
180.8724,-35.4783,48.773,0.0000535332
180.7738,-35.4397,49.396,0.0000535332
180.6776,-35.4055,50.201,0.0000535332
180.5845,-35.3757,51.239,0.0000535332
180.4943,-35.3495,52.607,0.0000535332
180.4061,-35.3255,54.392,0.0000535332
180.3201,-35.3015,56.752,0.0000535332
180.2347,-35.2763,59.787,0.0000535332
180.1505,-35.2491,63.549,0.0000535332
180.0671,-35.2204,67.982,0.0000535332
179.9844,-35.1907,72.988,0.0000535332
179.9033,-35.1604,78.439,0.0000535332
179.8235,-35.1305,84.224,0.0000535332
179.7455,-35.1011,90.265,0.0000535332
179.6694,-35.0722,96.558,0.0000535332
179.5948,-35.0441,103.047,0.0000535332
179.5223,-35.0161,109.802,0.0000535332
179.4520,-34.9884,116.838,0.0000535332
179.3826,-34.9611,124.046,0.0000535332
179.3153,-34.9338,131.530,0.0000535332
179.2492,-34.9068,139.202,0.0000535332
179.1843,-34.8800,147.030,0.0000535332
179.1212,-34.8532,155.056,0.0000535332
179.0584,-34.8269,163.171,0.0000535332
178.9971,-34.8007,171.411,0.0000535332
178.9374,-34.7746,179.788,0.0000535332
178.8774,-34.7490,188.198,0.0000535332
178.8189,-34.7235,196.686,0.0000535332
178.7623,-34.6979,205.259,0.0000535332
178.7051,-34.6730,213.829,0.0000535332
178.6491,-34.6483,222.391,0.0000535332
178.5951,-34.6237,230.938,0.0000535332
178.5411,-34.5996,239.430,0.0000535332
178.4878,-34.5759,247.838,0.0000535332
181.0126,-35.6512,47.729,0.0000535332
180.9098,-35.6077,48.280,0.0000535332
180.8086,-35.5664,48.771,0.0000535332
180.7094,-35.5288,49.430,0.0000535332
180.6131,-35.4956,50.293,0.0000535332
180.5201,-35.4664,51.407,0.0000535332
180.4304,-35.4405,52.858,0.0000535332
180.3436,-35.4160,54.756,0.0000535332
180.2595,-35.3909,57.239,0.0000535332
180.1765,-35.3644,60.397,0.0000535332
180.0952,-35.3357,64.267,0.0000535332
180.0147,-35.3057,68.773,0.0000535332
