lon,lat,dep,rate
165.0021,-49.0117,120.872,0.0010405827
165.0664,-49.0477,129.467,0.0010405827
165.1291,-49.0827,137.196,0.0010405827
165.1903,-49.1168,144.108,0.0010405827
164.1553,-48.3933,22.654,0.0010405827
164.2500,-48.4493,26.171,0.0010405827
164.3298,-48.4999,30.247,0.0010405827
164.4048,-48.5469,35.680,0.0010405827
164.4769,-48.5906,42.447,0.0010405827
164.5462,-48.6314,50.244,0.0010405827
164.6132,-48.6699,58.748,0.0010405827
164.6786,-48.7068,67.713,0.0010405827
164.7435,-48.7431,76.970,0.0010405827
164.8090,-48.7792,86.395,0.0010405827
164.8759,-48.8159,95.879,0.0010405827
164.9436,-48.8531,105.238,0.0010405827
165.0101,-48.8901,114.400,0.0010405827
165.0745,-48.9262,123.564,0.0010405827
165.1370,-48.9613,132.664,0.0010405827
165.1981,-48.9953,141.053,0.0010405827
165.2578,-49.0286,148.185,0.0010405827
164.2519,-48.3198,23.939,0.0010405827
164.3393,-48.3736,27.349,0.0010405827
164.4166,-48.4230,31.775,0.0010405827
164.4907,-48.4690,37.622,0.0010405827
164.5620,-48.5119,44.715,0.0010405827
164.6306,-48.5520,52.726,0.0010405827
164.6970,-48.5900,61.350,0.0010405827
164.7620,-48.6267,70.368,0.0010405827
164.8267,-48.6628,79.629,0.0010405827
164.8918,-48.6988,89.023,0.0010405827
164.9577,-48.7352,98.440,0.0010405827
165.0235,-48.7716,107.738,0.0010405827
165.0878,-48.8076,116.954,0.0010405827
165.1503,-48.8427,126.256,0.0010405827
165.2112,-48.8768,135.691,0.0010405827
165.2708,-48.9100,144.791,0.0010405827
164.3452,-48.2453,24.945,0.0010405827
164.4269,-48.2972,28.418,0.0010405827
164.5030,-48.3456,33.218,0.0010405827
164.5762,-48.3908,39.426,0.0010405827
164.6468,-48.4330,46.796,0.0010405827
164.7148,-48.4725,54.986,0.0010405827
164.7808,-48.5102,63.711,0.0010405827
164.8456,-48.5467,72.774,0.0010405827
164.9100,-48.5827,82.040,0.0010405827
164.9746,-48.6185,91.413,0.0010405827
165.0394,-48.6544,100.788,0.0010405827
165.1034,-48.6902,110.090,0.0010405827
165.1659,-48.7252,119.396,0.0010405827
165.2270,-48.7595,128.821,0.0010405827
165.2866,-48.7929,138.367,0.0010405827
165.3449,-48.8255,147.692,0.0010405827
164.3442,-48.1142,22.940,0.0010405827
164.4348,-48.1696,25.760,0.0010405827
164.5136,-48.2204,29.510,0.0010405827
164.5887,-48.2679,34.700,0.0010405827
164.6613,-48.3123,41.258,0.0010405827
164.7312,-48.3537,48.877,0.0010405827
164.7987,-48.3928,57.220,0.0010405827
164.8644,-48.4302,66.026,0.0010405827
164.9290,-48.4666,75.123,0.0010405827
164.9931,-48.5025,84.390,0.0010405827
165.0570,-48.5381,93.746,0.0010405827
165.1206,-48.5736,103.108,0.0010405827
165.1832,-48.6086,112.451,0.0010405827
165.2444,-48.6430,121.845,0.0010405827
165.3043,-48.6766,131.351,0.0010405827
165.3628,-48.7094,140.949,0.0010405827
164.4381,-48.0399,23.700,0.0010405827
164.5225,-48.0933,26.558,0.0010405827
164.5997,-48.1431,30.672,0.0010405827
164.6740,-48.1898,36.250,0.0010405827
164.7459,-48.2334,43.134,0.0010405827
164.8152,-48.2742,50.975,0.0010405827
164.8823,-48.3129,59.448,0.0010405827
164.9477,-48.3501,68.321,0.0010405827
165.0120,-48.3864,77.441,0.0010405827
165.0757,-48.4221,86.706,0.0010405827
165.1389,-48.4575,96.048,0.0010405827
165.2014,-48.4925,105.415,0.0010405827
165.2629,-48.5270,114.803,0.0010405827
165.3232,-48.5609,124.256,0.0010405827
165.3821,-48.5940,133.809,0.0010405827
165.4398,-48.6263,143.431,0.0010405827
164.4351,-47.9075,22.055,0.0010405827
164.5277,-47.9641,24.299,0.0010405827
164.6086,-48.0162,27.402,0.0010405827
164.6848,-48.0652,31.909,0.0010405827
164.7584,-48.1111,37.870,0.0010405827
164.8297,-48.1539,45.042,0.0010405827
164.8986,-48.1943,53.066,0.0010405827
164.9653,-48.2327,61.640,0.0010405827
165.0305,-48.2698,70.557,0.0010405827
165.0947,-48.3060,79.682,0.0010405827
165.1580,-48.3416,88.930,0.0010405827
165.2206,-48.3767,98.251,0.0010405827
165.2823,-48.4114,107.616,0.0010405827
165.3430,-48.4455,117.025,0.0010405827
165.4024,-48.4789,126.502,0.0010405827
165.4604,-48.5116,136.084,0.0010405827
165.5171,-48.5435,145.747,0.0010405827
164.5274,-47.8323,22.649,0.0010405827
164.6144,-47.8872,24.917,0.0010405827
164.6934,-47.9384,28.358,0.0010405827
164.7688,-47.9866,33.261,0.0010405827
164.8421,-48.0318,39.579,0.0010405827
164.9131,-48.0741,46.992,0.0010405827
164.9817,-48.1141,55.153,0.0010405827
165.0484,-48.1524,63.788,0.0010405827
165.1136,-48.1895,72.713,0.0010405827
165.1777,-48.2258,81.813,0.0010405827
165.2408,-48.2614,91.017,0.0010405827
165.3029,-48.2964,100.296,0.0010405827
165.3640,-48.3308,109.636,0.0010405827
165.4238,-48.3645,119.040,0.0010405827
165.4822,-48.3975,128.528,0.0010405827
165.5392,-48.4296,138.138,0.0010405827
165.5948,-48.4609,147.810,0.0010405827
164.5206,-47.6980,21.376,0.0010405827
164.6153,-47.7557,23.164,0.0010405827
164.6992,-47.8093,25.683,0.0010405827
164.7772,-47.8599,29.511,0.0010405827
164.8524,-47.9075,34.803,0.0010405827
164.9256,-47.9522,41.420,0.0010405827
164.9966,-47.9943,49.013,0.0010405827
