lon,lat,dep,rate
165.0531,-49.0268,117.985,0.0003329865
165.1182,-49.0630,126.670,0.0003329865
165.1815,-49.0981,134.474,0.0003329865
165.2434,-49.1324,141.454,0.0003329865
164.1760,-48.3996,17.944,0.0003329865
164.2749,-48.4568,21.612,0.0003329865
164.3629,-48.5098,26.044,0.0003329865
164.4449,-48.5590,31.892,0.0003329865
164.5219,-48.6042,39.025,0.0003329865
164.5943,-48.6458,47.094,0.0003329865
164.6630,-48.6848,55.776,0.0003329865
164.7293,-48.7220,64.841,0.0003329865
164.7946,-48.7583,74.134,0.0003329865
164.8600,-48.7944,83.543,0.0003329865
164.9265,-48.8309,92.974,0.0003329865
164.9940,-48.8680,102.298,0.0003329865
165.0609,-48.9052,111.503,0.0003329865
165.1260,-48.9415,120.757,0.0003329865
165.1893,-48.9767,129.942,0.0003329865
165.2510,-49.0110,138.401,0.0003329865
165.3113,-49.0444,145.593,0.0003329865
164.2722,-48.3259,19.223,0.0003329865
164.3663,-48.3818,22.874,0.0003329865
164.4519,-48.4336,27.693,0.0003329865
164.5323,-48.4816,33.947,0.0003329865
164.6079,-48.5257,41.379,0.0003329865
164.6791,-48.5666,49.630,0.0003329865
164.7470,-48.6050,58.409,0.0003329865
164.8128,-48.6420,67.511,0.0003329865
164.8778,-48.6781,76.801,0.0003329865
164.9428,-48.7141,86.184,0.0003329865
165.0085,-48.7503,95.569,0.0003329865
165.0744,-48.7868,104.872,0.0003329865
165.1392,-48.8229,114.147,0.0003329865
165.2025,-48.8582,123.528,0.0003329865
165.2640,-48.8924,133.039,0.0003329865
165.3241,-48.9258,142.203,0.0003329865
164.3661,-48.2516,20.259,0.0003329865
164.4562,-48.3061,24.042,0.0003329865
164.5402,-48.3569,29.251,0.0003329865
164.6191,-48.4038,35.852,0.0003329865
164.6934,-48.4470,43.530,0.0003329865
164.7636,-48.4872,51.932,0.0003329865
164.8309,-48.5252,60.790,0.0003329865
164.8964,-48.5620,69.926,0.0003329865
164.9611,-48.5980,79.220,0.0003329865
165.0257,-48.6338,88.590,0.0003329865
165.0904,-48.6697,97.960,0.0003329865
165.1548,-48.7055,107.292,0.0003329865
165.2179,-48.7407,116.663,0.0003329865
165.2795,-48.7751,126.158,0.0003329865
165.3397,-48.8087,135.769,0.0003329865
165.3985,-48.8414,145.154,0.0003329865
164.3608,-48.1193,18.130,0.0003329865
164.4576,-48.1766,21.136,0.0003329865
164.5452,-48.2299,25.241,0.0003329865
164.6276,-48.2797,30.844,0.0003329865
164.7052,-48.3256,37.773,0.0003329865
164.7783,-48.3680,45.668,0.0003329865
164.8478,-48.4076,54.198,0.0003329865
164.9146,-48.4453,63.121,0.0003329865
164.9797,-48.4819,72.282,0.0003329865
165.0441,-48.5178,81.580,0.0003329865
165.1082,-48.5535,90.946,0.0003329865
165.1719,-48.5890,100.325,0.0003329865
165.2349,-48.6241,109.712,0.0003329865
165.2967,-48.6586,119.167,0.0003329865
165.3571,-48.6924,128.736,0.0003329865
165.4162,-48.7253,138.395,0.0003329865
164.4551,-48.0450,18.905,0.0003329865
164.5475,-48.1010,22.016,0.0003329865
164.6334,-48.1534,26.515,0.0003329865
164.7144,-48.2021,32.502,0.0003329865
164.7907,-48.2470,39.728,0.0003329865
164.8628,-48.2886,47.816,0.0003329865
164.9315,-48.3278,56.452,0.0003329865
164.9978,-48.3653,65.428,0.0003329865
165.0627,-48.4017,74.608,0.0003329865
165.1267,-48.4375,83.908,0.0003329865
165.1902,-48.4729,93.274,0.0003329865
165.2530,-48.5080,102.672,0.0003329865
165.3150,-48.5427,112.108,0.0003329865
165.3757,-48.5766,121.618,0.0003329865
165.4351,-48.6099,131.232,0.0003329865
165.4933,-48.6423,140.914,0.0003329865
164.4476,-47.9114,17.164,0.0003329865
164.5463,-47.9698,19.550,0.0003329865
164.6360,-48.0246,22.954,0.0003329865
164.7204,-48.0761,27.863,0.0003329865
164.8001,-48.1238,34.219,0.0003329865
164.8752,-48.1678,41.703,0.0003329865
164.9465,-48.2089,49.945,0.0003329865
165.0146,-48.2477,58.663,0.0003329865
165.0807,-48.2850,67.671,0.0003329865
165.1453,-48.3213,76.854,0.0003329865
165.2090,-48.3571,86.143,0.0003329865
165.2720,-48.3923,95.499,0.0003329865
165.3341,-48.4271,104.904,0.0003329865
165.3952,-48.4613,114.363,0.0003329865
165.4550,-48.4948,123.900,0.0003329865
165.5135,-48.5276,133.544,0.0003329865
165.5707,-48.5596,143.268,0.0003329865
164.5403,-47.8363,17.770,0.0003329865
164.6350,-47.8935,20.231,0.0003329865
164.7230,-47.9475,24.008,0.0003329865
164.8061,-47.9980,29.319,0.0003329865
164.8847,-48.0449,36.006,0.0003329865
164.9590,-48.0882,43.700,0.0003329865
165.0297,-48.1288,52.053,0.0003329865
165.0976,-48.1675,60.815,0.0003329865
165.1636,-48.2048,69.823,0.0003329865
165.2283,-48.2412,78.982,0.0003329865
165.2918,-48.2769,88.235,0.0003329865
165.3544,-48.3120,97.559,0.0003329865
165.4158,-48.3465,106.950,0.0003329865
165.4761,-48.3804,116.412,0.0003329865
165.5351,-48.4135,125.965,0.0003329865
165.5926,-48.4457,135.642,0.0003329865
165.6486,-48.4772,145.377,0.0003329865
164.5295,-47.7008,16.433,0.0003329865
164.6298,-47.7601,18.319,0.0003329865
164.7221,-47.8164,21.071,0.0003329865
164.8088,-47.8696,25.257,0.0003329865
164.8910,-47.9194,30.946,0.0003329865
164.9689,-47.9655,37.902,0.0003329865
165.0427,-48.0084,45.743,0.0003329865
165.1133,-48.0489,54.150,0.0003329865
165.1813,-48.0876,62.906,0.0003329865
165.2476,-48.1251,71.873,0.0003329865
165.3125,-48.1617,80.971,0.0003329865
165.3760,-48.1975,90.162,0.0003329865
165.4382,-48.2326,99.437,0.0003329865
165.4990,-48.2669,108.803,0.0003329865
165.5583,-48.3003,118.270,0.0003329865
165.6161,-48.3328,127.857,0.0003329865
165.6723,-48.3644,137.583,0.0003329865
165.7271,-48.3951,147.263,0.0003329865
164.6194,-47.6246,17.021,0.0003329865
