year, month, day, lon, lat, dep, mag, isslab
1876, 7, 18, 175.8000, -40.2000, 50.0000, 6.800, 1
1888, 10, 23, 175.0000, -40.0000, 160.0000, 5.600, 1
1893, 2, 11, 173.8000, -41.0000, 70.0000, 6.800, 0
1914, 2, 8, 175.0000, -41.0000, 45.0000, 4.900, 1
1914, 11, 22, 176.5000, -37.5000, 300.0000, 7.300, 1
1921, 6, 28, 176.4000, -39.3000, 80.0000, 6.750, 1
1926, 10, 17, 176.4000, -39.0000, 80.0000, 6.000, 1
1927, 2, 25, 178.0000, -38.0000, 60.0000, 6.160, 1
1931, 9, 15, 168.0000, -45.0000, 50.0000, 5.400, 0
1931, 9, 21, 177.9309, -37.8069, 80.0000, 6.510, 1
1934, 3, 9, 176.2400, -39.6600, 200.0000, 4.248, 1
1936, 5, 23, 177.0000, -38.0000, 150.0000, 6.500, 1
1936, 7, 9, 176.0000, -39.0000, 100.0000, 6.000, 1
1937, 10, 23, 177.8000, -37.9000, 80.0000, 6.010, 1
1937, 10, 25, 177.8000, -37.9000, 80.0000, 6.010, 1
1938, 10, 30, 176.5000, -38.5000, 150.0000, 5.000, 1
1938, 11, 1, 176.5000, -38.5000, 150.0000, 5.000, 1
1938, 12, 16, 167.0000, -45.0000, 47.0000, 7.000, 1
1938, 12, 30, 176.0000, -40.0000, 100.0000, 6.070, 1
1939, 2, 10, 168.0000, -45.0000, 80.0000, 5.500, 0
1939, 5, 14, 179.0000, -36.5000, 80.0000, 6.000, 1
1940, 3, 29, 177.0000, -38.0000, 100.0000, 4.500, 1
1940, 4, 3, 177.0000, -38.0000, 100.0000, 4.500, 1
1940, 6, 2, 175.0000, -37.0000, 200.0000, 4.500, 1
1940, 6, 15, 175.0000, -37.0000, 200.0000, 4.500, 1
1940, 6, 16, 172.8000, -40.2000, 200.0000, 4.500, 1
1940, 6, 30, 178.0000, -36.0000, 80.0000, 6.000, 0
1940, 7, 3, 179.0000, -37.0000, 100.0000, 4.500, 1
1940, 8, 2, 178.3000, -38.5000, 70.0000, 5.000, 1
1940, 8, 19, 176.5000, -39.2000, 100.0000, 4.500, 1
1940, 8, 20, 176.2000, -38.5000, 70.0000, 4.500, 0
1940, 9, 13, 175.5000, -39.0000, 200.0000, 3.900, 1
1940, 10, 7, 176.7000, -38.6000, 160.0000, 5.130, 1
1940, 11, 28, 180.2000, -36.8000, 200.0000, 5.300, 1
1940, 11, 30, 180.0000, -37.0000, 100.0000, 5.300, 1
1941, 1, 12, 168.5000, -45.5000, 100.0000, 4.700, 1
1941, 3, 1, 176.2000, -37.9000, 165.0000, 4.400, 1
1941, 3, 21, 175.0000, -39.1000, 210.0000, 4.700, 1
1941, 4, 16, 177.8000, -37.8000, 220.0000, 5.200, 1
1941, 4, 24, 177.4000, -37.8000, 185.0000, 4.000, 1
1941, 5, 12, 177.8000, -38.9000, 70.0000, 5.100, 1
1941, 6, 25, 175.1000, -39.2000, 250.0000, 5.300, 1
1941, 7, 3, 176.2000, -38.2000, 325.0000, 5.200, 1
1941, 8, 9, 173.9000, -40.4000, 185.0000, 4.900, 1
1941, 9, 24, 176.8000, -38.7000, 160.0000, 5.500, 1
1941, 10, 30, 176.4000, -38.2000, 215.0000, 5.000, 1
1941, 11, 9, 175.5000, -38.5000, 125.0000, 4.800, 1
1942, 2, 6, 177.4600, -37.9900, 250.0000, 4.639, 1
1942, 2, 24, 174.1300, -39.7800, 113.0000, 4.047, 1
1942, 4, 1, 173.0400, -40.5900, 117.0000, 4.752, 1
1942, 4, 18, 176.5300, -38.5100, 120.0000, 4.235, 1
1942, 6, 27, 177.1400, -37.4000, 390.0000, 5.279, 1
1942, 7, 26, 174.8294, -40.5166, 62.4800, 4.571, 1
1942, 9, 10, 176.3300, -38.7100, 140.0000, 4.187, 1
1942, 9, 12, 174.4500, -38.9700, 250.0000, 3.721, 1
1942, 9, 12, 174.4000, -39.0700, 250.0000, 4.129, 1
1942, 9, 13, 175.0000, -36.0000, 100.0000, 4.282, 1
1942, 9, 13, 173.8400, -39.7700, 193.0000, 4.265, 1
1942, 10, 5, 176.3000, -38.4000, 175.0000, 5.200, 1
1942, 10, 27, 177.0000, -39.2000, 120.0000, 4.000, 1
1942, 11, 11, 175.3000, -41.2000, 70.0000, 4.000, 1
1942, 11, 27, 175.0000, -39.1000, 210.0000, 4.500, 1
1942, 12, 30, 173.5000, -40.7000, 50.0000, 4.600, 0
1943, 1, 9, 178.2900, -35.5800, 278.0000, 4.266, 1
1943, 2, 2, 173.3100, -41.0500, 141.0000, 4.287, 1
1943, 2, 19, 174.4500, -40.7200, 74.0000, 4.038, 1
1943, 2, 20, 172.9500, -41.4900, 95.0000, 3.682, 1
1943, 2, 20, 177.0200, -37.3900, 290.0000, 4.340, 1
1943, 2, 25, 174.9500, -41.3700, 60.0000, 5.518, 1
1943, 3, 16, 175.2300, -39.1500, 180.0000, 3.939, 1
1943, 4, 13, 177.0500, -38.1800, 256.0000, 3.860, 1
1943, 5, 16, 175.1700, -39.9100, 85.0000, 4.471, 1
1943, 5, 25, 175.2100, -39.9700, 119.0000, 4.186, 1
1943, 5, 29, 174.3700, -39.6400, 202.0000, 4.600, 1
1943, 6, 9, 176.5900, -39.1000, 98.0000, 5.537, 1
1943, 7, 5, 175.9600, -37.3100, 400.0000, 3.670, 1
1943, 7, 11, 176.9600, -38.2000, 209.0000, 5.272, 1
1943, 8, 2, 173.3100, -40.7300, 161.0000, 4.494, 1
1943, 10, 29, 175.6000, -39.4500, 134.0000, 3.793, 1
1943, 11, 5, 175.8100, -38.7900, 154.0000, 4.766, 1
1943, 11, 20, 175.2100, -39.4100, 113.0000, 3.894, 1
1943, 11, 28, 174.3800, -40.2800, 68.0000, 4.052, 0
1944, 1, 5, 178.5400, -38.1700, 117.0000, 3.834, 1
1944, 2, 7, 173.6700, -41.1300, 108.0000, 4.977, 1
1944, 2, 15, 176.3300, -38.5500, 180.0000, 4.194, 1
1944, 3, 30, 177.0000, -37.9900, 235.0000, 4.267, 1
1944, 4, 3, 175.9200, -38.1000, 213.0000, 4.727, 1
1944, 5, 20, 174.0000, -40.1900, 165.0000, 3.618, 1
1944, 5, 21, 176.6500, -38.1700, 213.0000, 4.625, 1
1944, 6, 7, 174.5600, -39.8100, 108.0000, 3.855, 1
