year, month, day, lon, lat, dep, mag, isslab
1460, 1, 1, 174.8000, -41.4000, 25.0000, 7.500, 0
1773, 5, 11, 174.0000, -41.0000, 25.0000, 5.500, 0
1792, 12, 2, 167.0000, -46.0000, 25.0000, 5.500, 0
1810, 1, 1, 167.0000, -45.0000, 25.0000, 5.500, 1
1815, 1, 1, 174.0000, -39.0000, 25.0000, 6.500, 0
1817, 1, 1, 167.0000, -46.0000, 25.0000, 6.500, 0
1826, 1, 1, 167.0000, -45.0000, 25.0000, 7.500, 1
1835, 1, 1, 175.0000, -37.0000, 25.0000, 6.500, 0
1835, 1, 1, 178.0000, -39.0000, 25.0000, 5.500, 1
1838, 1, 1, 175.1000, -39.4000, 25.0000, 6.500, 0
1838, 1, 11, 176.0000, -38.0000, 25.0000, 4.500, 0
1839, 7, 12, 176.0000, -38.0000, 25.0000, 4.500, 0
1839, 7, 19, 176.0000, -38.0000, 25.0000, 4.500, 0
1839, 8, 29, 174.0000, -41.0000, 25.0000, 4.500, 0
1839, 9, 18, 174.0000, -41.0000, 25.0000, 4.500, 0
1840, 2, 9, 175.0000, -38.0000, 25.0000, 5.500, 0
1840, 5, 25, 175.0000, -41.0000, 25.0000, 6.000, 0
1840, 5, 25, 175.0000, -41.0000, 25.0000, 4.500, 0
1840, 5, 28, 175.0000, -38.0000, 25.0000, 4.500, 0
1840, 11, 27, 175.0000, -38.0000, 25.0000, 4.500, 0
1840, 11, 30, 175.0000, -38.0000, 25.0000, 4.500, 0
1841, 9, 17, 174.0000, -39.0000, 25.0000, 5.500, 0
1841, 11, 29, 174.0000, -39.0000, 25.0000, 4.500, 0
1842, 4, 15, 173.0000, -41.0000, 25.0000, 4.500, 0
1842, 5, 21, 174.8000, -41.3000, 25.0000, 4.500, 0
1842, 7, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 12, 6, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 12, 6, 175.0000, -41.0000, 25.0000, 4.500, 0
1843, 5, 3, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 5, 16, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 7, 8, 176.2000, -39.6000, 25.0000, 4.500, 0
1843, 7, 8, 176.2000, -39.6000, 12.0000, 7.600, 0
1843, 8, 7, 175.0000, -41.0000, 25.0000, 4.500, 0
1843, 12, 13, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 1, 24, 175.0000, -40.0000, 25.0000, 5.500, 0
1844, 2, 26, 175.0000, -41.0000, 25.0000, 5.500, 0
1844, 3, 2, 178.0000, -38.0000, 25.0000, 4.500, 0
1844, 6, 24, 174.0000, -41.0000, 25.0000, 5.500, 0
1844, 9, 3, 178.0000, -38.0000, 25.0000, 4.500, 0
1844, 11, 2, 173.0000, -41.0000, 25.0000, 4.500, 0
1844, 12, 25, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 1, 7, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 2, 26, 173.0000, -41.0000, 25.0000, 4.500, 0
1845, 3, 19, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 4, 18, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 5, 13, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 7, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 9, 5, 176.0000, -38.0000, 25.0000, 4.500, 0
1845, 9, 13, 174.0000, -39.0000, 25.0000, 4.500, 0
1845, 10, 20, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 10, 21, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 11, 6, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 11, 17, 176.0000, -38.0000, 25.0000, 4.500, 0
1846, 4, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 5, 7, 175.0000, -40.0000, 25.0000, 5.500, 0
1846, 6, 13, 176.0000, -38.0000, 25.0000, 4.500, 0
1846, 7, 4, 172.0000, -42.0000, 25.0000, 5.500, 0
1846, 7, 13, 166.0000, -47.0000, 25.0000, 6.300, 0
1846, 11, 18, 172.0000, -41.0000, 25.0000, 6.500, 0
1846, 12, 3, 173.0000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 6.000, 0
1846, 12, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1846, 12, 26, 178.0000, -39.0000, 25.0000, 4.500, 1
1846, 12, 31, 178.0000, -39.0000, 25.0000, 4.500, 1
1847, 3, 15, 177.0000, -39.0000, 25.0000, 4.500, 0
1847, 7, 2, 175.0000, -40.0000, 25.0000, 4.500, 0
1847, 7, 24, 175.0000, -41.0000, 25.0000, 5.500, 0
1847, 8, 10, 178.0000, -38.0000, 25.0000, 4.500, 0
1847, 9, 21, 173.0000, -41.0000, 25.0000, 4.500, 0
1847, 9, 26, 173.0000, -41.0000, 25.0000, 4.500, 0
1848, 4, 9, 175.0000, -40.0000, 25.0000, 5.500, 0
1848, 4, 19, 175.0000, -41.0000, 25.0000, 5.500, 0
1848, 8, 14, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 10, 15, 173.6000, -41.9000, 12.0000, 7.550, 0
1848, 10, 18, 173.6000, -41.9000, 12.0000, 6.200, 0
1848, 10, 21, 173.0000, -41.0000, 25.0000, 4.500, 0
1848, 11, 9, 173.0000, -41.0000, 25.0000, 5.500, 0
1848, 11, 29, 175.0000, -41.0000, 25.0000, 5.500, 0
1848, 11, 30, 174.0000, -41.0000, 25.0000, 4.500, 0
1849, 2, 23, 175.0000, -40.0000, 25.0000, 5.500, 0
1849, 7, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1849, 12, 11, 175.0000, -40.0000, 25.0000, 5.500, 0
1850, 5, 6, 175.0000, -41.0000, 25.0000, 4.500, 0
1850, 5, 31, 176.0000, -39.0000, 25.0000, 5.500, 0
1850, 6, 21, 175.0000, -40.0000, 25.0000, 4.500, 0
1850, 7, 1, 175.0000, -41.0000, 25.0000, 4.500, 0
1850, 10, 1, 175.0000, -41.0000, 25.0000, 4.500, 0
1851, 3, 9, 175.0000, -41.0000, 25.0000, 4.500, 0
1851, 6, 2, 175.0000, -41.0000, 25.0000, 4.500, 0
1851, 7, 26, 173.0000, -41.0000, 25.0000, 6.000, 0
1851, 9, 7, 174.5000, -41.0000, 25.0000, 5.500, 0
1851, 9, 26, 175.0000, -41.0000, 25.0000, 5.500, 0
1851, 10, 5, 173.0000, -41.0000, 25.0000, 4.500, 0
1851, 10, 9, 175.0000, -40.0000, 25.0000, 4.500, 0
1852, 2, 25, 175.0000, -40.0000, 25.0000, 4.500, 0
1852, 3, 23, 174.0000, -39.0000, 25.0000, 5.500, 0
1852, 3, 31, 178.0000, -39.0000, 25.0000, 4.500, 1
1852, 3, 31, 175.0000, -40.0000, 25.0000, 4.500, 0
1852, 6, 10, 177.0000, -40.0000, 25.0000, 4.500, 1
1852, 9, 29, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 1, 1, 174.0000, -39.0000, 25.0000, 6.800, 0
1853, 2, 28, 173.0000, -41.0000, 25.0000, 4.500, 0
1853, 4, 1, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 5, 5, 173.0000, -41.0000, 25.0000, 4.500, 0
1853, 5, 7, 174.0000, -41.0000, 25.0000, 4.500, 0
1853, 5, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 6, 4, 174.0000, -40.0000, 25.0000, 5.500, 0
1853, 6, 7, 174.0000, -40.0000, 25.0000, 5.500, 0
1853, 9, 1, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 10, 18, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 12, 18, 175.0000, -40.0000, 25.0000, 5.500, 0
1854, 1, 29, 175.0000, -41.0000, 25.0000, 4.500, 0
1854, 3, 21, 175.0000, -41.0000, 25.0000, 4.500, 0
1854, 5, 3, 174.0000, -41.0000, 25.0000, 5.500, 0
1854, 7, 20, 175.0000, -41.0000, 25.0000, 4.500, 0
1854, 9, 14, 175.0000, -41.0000, 25.0000, 4.500, 0
1855, 1, 23, 175.2000, -41.2000, 33.0000, 8.250, 1
1855, 2, 9, 175.0000, -41.4000, 25.0000, 6.000, 0
1855, 10, 21, 174.0000, -39.0000, 25.0000, 5.500, 0
1863, 2, 22, 176.5000, -40.0000, 25.0000, 7.500, 0
1868, 10, 18, 173.0000, -40.2000, 12.0000, 7.400, 0
1868, 10, 26, 174.0000, -39.0000, 25.0000, 6.000, 0
1875, 9, 14, 178.0000, -39.0000, 25.0000, 5.800, 1
1881, 6, 25, 175.6000, -40.4000, 33.0000, 6.700, 0
1891, 3, 9, 174.0000, -41.5000, 25.0000, 5.500, 0
1891, 6, 23, 174.4000, -37.4000, 12.0000, 6.200, 0
1891, 7, 5, 175.0000, -41.0000, 25.0000, 5.500, 0
1892, 10, 11, 176.5000, -40.4000, 33.0000, 5.700, 1
1894, 5, 20, 175.0000, -41.0000, 25.0000, 6.000, 0
1895, 8, 18, 176.0000, -38.8000, 12.0000, 6.000, 0
1897, 12, 7, 175.0000, -40.0000, 40.0000, 6.500, 0
1903, 8, 1, 176.9000, -39.6000, 12.0000, 5.200, 0
1904, 8, 8, 176.4000, -40.4000, 16.0000, 7.100, 0
1907, 3, 6, 174.0000, -42.0000, 25.0000, 5.500, 0
1911, 10, 5, 176.9000, -39.6000, 33.0000, 5.600, 1
1912, 5, 26, 175.0000, -38.0000, 12.0000, 5.700, 0
1913, 2, 22, 171.6000, -41.8000, 12.0000, 5.300, 0
1913, 4, 12, 175.7000, -41.0000, 12.0000, 5.600, 0
1914, 10, 6, 178.2000, -37.8000, 12.0000, 6.600, 0
1914, 10, 28, 178.2000, -37.8000, 12.0000, 6.400, 0
1917, 8, 5, 176.0000, -40.8000, 20.0000, 6.850, 0
1918, 2, 19, 174.0000, -41.5000, 25.0000, 5.500, 0
1918, 11, 3, 165.0000, -47.0000, 8.0000, 6.700, 0
1921, 4, 2, 177.5000, -39.0000, 25.0000, 5.500, 0
1921, 7, 20, 177.0000, -39.5000, 25.0000, 5.500, 0
1921, 9, 6, 178.0000, -38.0000, 25.0000, 5.010, 0
1922, 6, 8, 176.0300, -38.6000, 5.0000, 4.500, 0
1922, 6, 18, 176.0000, -39.0000, 25.0000, 6.000, 0
1922, 8, 16, 174.0000, -42.0000, 25.0000, 5.500, 0
1925, 11, 27, 174.0000, -42.0000, 25.0000, 5.500, 0
1925, 12, 9, 173.0000, -41.0000, 25.0000, 5.500, 0
1926, 1, 4, 174.8000, -41.3000, 33.0000, 4.900, 0
1926, 3, 18, 175.0000, -41.0000, 25.0000, 5.500, 0
1926, 11, 11, 175.5500, -37.6500, 5.0000, 4.600, 0
1927, 5, 18, 173.0000, -41.0000, 25.0000, 5.500, 0
1927, 5, 20, 178.0000, -38.0000, 25.0000, 5.500, 0
1927, 10, 15, 174.0000, -39.0000, 25.0000, 5.500, 0
1927, 11, 7, 175.5000, -37.5000, 25.0000, 5.500, 0
1928, 3, 6, 174.1300, -39.0000, 12.0000, 5.400, 0
