year, month, day, lon, lat, dep, mag, isslab
1460, 1, 1, 174.8000, -41.4000, 25.0000, 7.500, 0
1773, 5, 11, 174.0000, -41.0000, 25.0000, 5.500, 0
1792, 12, 2, 167.0000, -46.0000, 25.0000, 5.500, 0
1810, 1, 1, 167.0000, -45.0000, 25.0000, 5.500, 1
1815, 1, 1, 174.0000, -39.0000, 25.0000, 6.500, 0
1817, 1, 1, 167.0000, -46.0000, 25.0000, 6.500, 0
1826, 1, 1, 167.0000, -45.0000, 25.0000, 7.500, 1
1835, 1, 1, 175.0000, -37.0000, 25.0000, 6.500, 0
1835, 1, 1, 178.0000, -39.0000, 25.0000, 5.500, 1
1838, 1, 1, 175.1000, -39.4000, 25.0000, 6.500, 0
1838, 1, 11, 176.0000, -38.0000, 25.0000, 4.500, 0
1839, 7, 12, 176.0000, -38.0000, 25.0000, 4.500, 0
1839, 7, 19, 176.0000, -38.0000, 25.0000, 4.500, 0
1839, 8, 29, 174.0000, -41.0000, 25.0000, 4.500, 0
1839, 9, 18, 174.0000, -41.0000, 25.0000, 4.500, 0
1840, 2, 9, 175.0000, -38.0000, 25.0000, 5.500, 0
1840, 5, 25, 175.0000, -41.0000, 25.0000, 6.000, 0
1840, 5, 25, 175.0000, -41.0000, 25.0000, 4.500, 0
1840, 5, 26, 175.0000, -41.0000, 25.0000, 4.500, 0
1840, 5, 28, 175.0000, -38.0000, 25.0000, 4.500, 0
1840, 8, 29, 175.0000, -41.0000, 25.0000, 4.500, 0
1840, 9, 27, 175.0000, -41.0000, 25.0000, 4.500, 0
1840, 11, 27, 175.0000, -38.0000, 25.0000, 4.500, 0
1840, 11, 30, 175.0000, -38.0000, 25.0000, 4.500, 0
1840, 12, 16, 175.0000, -41.0000, 25.0000, 4.500, 0
1840, 12, 22, 175.0000, -41.0000, 25.0000, 4.500, 0
1841, 1, 16, 175.0000, -38.0000, 25.0000, 4.500, 0
1841, 1, 17, 175.0000, -41.0000, 25.0000, 4.500, 0
1841, 3, 23, 175.0000, -41.0000, 25.0000, 4.500, 0
1841, 9, 17, 174.0000, -39.0000, 25.0000, 5.500, 0
1841, 11, 29, 174.0000, -39.0000, 25.0000, 4.500, 0
1842, 4, 15, 173.0000, -41.0000, 25.0000, 4.500, 0
1842, 5, 21, 174.8000, -41.3000, 25.0000, 4.500, 0
1842, 7, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 9, 9, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 9, 16, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 9, 16, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 12, 6, 175.0000, -41.0000, 25.0000, 4.500, 0
1842, 12, 6, 175.0000, -41.0000, 25.0000, 4.500, 0
1843, 5, 3, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 5, 16, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 6, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 7, 8, 176.2000, -39.6000, 25.0000, 4.500, 0
1843, 7, 8, 176.2000, -39.6000, 12.0000, 7.600, 0
1843, 8, 7, 175.0000, -41.0000, 25.0000, 4.500, 0
1843, 12, 13, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 12, 18, 175.0000, -40.0000, 25.0000, 4.500, 0
1843, 12, 24, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 1, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 1, 24, 175.0000, -40.0000, 25.0000, 5.500, 0
1844, 2, 26, 175.0000, -41.0000, 25.0000, 5.500, 0
1844, 3, 2, 178.0000, -38.0000, 25.0000, 4.500, 0
1844, 3, 9, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 3, 11, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 4, 6, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 4, 7, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 4, 26, 175.0000, -40.0000, 25.0000, 5.500, 0
1844, 4, 30, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 5, 5, 175.0000, -40.0000, 25.0000, 5.500, 0
1844, 5, 21, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 6, 24, 174.0000, -41.0000, 25.0000, 5.500, 0
1844, 7, 9, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 7, 17, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 9, 3, 178.0000, -38.0000, 25.0000, 4.500, 0
1844, 10, 14, 175.0000, -40.0000, 25.0000, 4.500, 0
1844, 11, 2, 173.0000, -41.0000, 25.0000, 4.500, 0
1844, 12, 25, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 1, 7, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 1, 7, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 2, 26, 173.0000, -41.0000, 25.0000, 4.500, 0
1845, 3, 19, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 4, 18, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 5, 13, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 6, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 6, 26, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 7, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 7, 15, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 7, 25, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 7, 26, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 9, 5, 176.0000, -38.0000, 25.0000, 4.500, 0
1845, 9, 13, 174.0000, -39.0000, 25.0000, 4.500, 0
1845, 10, 20, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 10, 21, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 10, 23, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 11, 6, 175.0000, -40.0000, 25.0000, 4.500, 0
1845, 11, 7, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 11, 17, 176.0000, -38.0000, 25.0000, 4.500, 0
1845, 11, 20, 175.0000, -41.0000, 25.0000, 4.500, 0
1845, 12, 17, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 1, 30, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 2, 10, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 4, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 4, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 4, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 5, 7, 175.0000, -40.0000, 25.0000, 5.500, 0
1846, 5, 13, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 6, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 6, 13, 176.0000, -38.0000, 25.0000, 4.500, 0
1846, 6, 30, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 6, 30, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 7, 2, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 7, 3, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 7, 4, 172.0000, -42.0000, 25.0000, 5.500, 0
1846, 7, 13, 166.0000, -47.0000, 25.0000, 6.300, 0
1846, 7, 26, 175.0000, -41.0000, 25.0000, 5.500, 0
1846, 8, 30, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 9, 11, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 10, 16, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 11, 18, 172.0000, -41.0000, 25.0000, 6.500, 0
1846, 11, 19, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 12, 3, 173.0000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 6.000, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 5, 175.0000, -40.0000, 25.0000, 4.500, 0
1846, 12, 5, 174.5000, -41.0000, 25.0000, 4.500, 0
1846, 12, 5, 174.5000, -41.0000, 25.0000, 5.500, 0
1846, 12, 26, 178.0000, -39.0000, 25.0000, 4.500, 1
1846, 12, 26, 175.0000, -41.0000, 25.0000, 4.500, 0
1846, 12, 31, 178.0000, -39.0000, 25.0000, 4.500, 1
1847, 2, 3, 175.0000, -40.0000, 25.0000, 4.500, 0
1847, 2, 3, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 2, 3, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 2, 26, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 3, 15, 177.0000, -39.0000, 25.0000, 4.500, 0
1847, 3, 23, 175.0000, -40.0000, 25.0000, 4.500, 0
1847, 3, 27, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 3, 28, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 4, 16, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 5, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 5, 31, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 7, 2, 175.0000, -40.0000, 25.0000, 4.500, 0
1847, 7, 24, 175.0000, -41.0000, 25.0000, 5.500, 0
1847, 7, 24, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 8, 10, 178.0000, -38.0000, 25.0000, 4.500, 0
1847, 8, 11, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 9, 21, 173.0000, -41.0000, 25.0000, 4.500, 0
1847, 9, 26, 173.0000, -41.0000, 25.0000, 4.500, 0
1847, 10, 13, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 10, 27, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 11, 9, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 12, 9, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 12, 17, 175.0000, -41.0000, 25.0000, 4.500, 0
1847, 12, 30, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 1, 14, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 1, 17, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 1, 19, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 2, 26, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 4, 9, 175.0000, -40.0000, 25.0000, 5.500, 0
1848, 4, 10, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 4, 12, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 4, 12, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 4, 16, 175.0000, -41.0000, 25.0000, 4.500, 0
1848, 4, 19, 175.0000, -41.0000, 25.0000, 5.500, 0
