year, month, day, hour, minute, second, lon, lat, depth, mag
1876, 7, 18, 16, 47, 0.000, 175.8000, -40.2000, 50.00, 6.800
1888, 10, 23, 8, 15, 0.000, 175.0000, -40.0000, 160.00, 5.600
1893, 2, 11, 20, 30, 0.000, 173.8000, -41.0000, 70.00, 6.800
1914, 2, 8, 0, 1, 0.000, 175.0000, -41.0000, 45.00, 4.900
1914, 11, 22, 8, 14, 0.000, 176.5000, -37.5000, 300.00, 7.300
1921, 6, 28, 13, 58, 54.000, 176.4000, -39.3000, 80.00, 6.750
1926, 10, 17, 0, 46, 0.000, 176.4000, -39.0000, 80.00, 6.000
1927, 2, 25, 15, 41, 23.000, 178.0000, -38.0000, 60.00, 6.160
1931, 9, 15, 22, 22, 0.000, 168.0000, -45.0000, 50.00, 5.400
1931, 9, 21, 13, 34, 35.000, 177.9309, -37.8069, 80.00, 6.510
1934, 3, 9, 7, 34, 55.000, 176.2400, -39.6600, 200.00, 4.248
1936, 5, 23, 15, 33, 0.000, 177.0000, -38.0000, 150.00, 6.500
1936, 7, 9, 10, 21, 0.000, 176.0000, -39.0000, 100.00, 6.000
1937, 10, 23, 16, 53, 0.000, 177.8000, -37.9000, 80.00, 6.010
1937, 10, 25, 10, 33, 0.000, 177.8000, -37.9000, 80.00, 6.010
1938, 10, 30, 12, 45, 23.000, 176.5000, -38.5000, 150.00, 5.000
1938, 11, 1, 23, 21, 20.000, 176.5000, -38.5000, 150.00, 5.000
1938, 12, 16, 17, 21, 25.000, 167.0000, -45.0000, 47.00, 7.000
1938, 12, 30, 2, 20, 0.000, 176.0000, -40.0000, 100.00, 6.070
1939, 2, 10, 15, 35, 0.000, 168.0000, -45.0000, 80.00, 5.500
1939, 5, 14, 18, 12, 0.000, 179.0000, -36.5000, 80.00, 6.000
1940, 3, 29, 18, 36, 0.000, 177.0000, -38.0000, 100.00, 4.500
1940, 4, 3, 2, 53, 6.000, 177.0000, -38.0000, 100.00, 4.500
1940, 6, 2, 19, 17, 30.000, 175.0000, -37.0000, 200.00, 4.500
1940, 6, 15, 1, 58, 30.000, 175.0000, -37.0000, 200.00, 4.500
1940, 6, 16, 11, 15, 54.000, 172.8000, -40.2000, 200.00, 4.500
1940, 6, 30, 13, 5, 42.000, 178.0000, -36.0000, 80.00, 6.000
1940, 7, 3, 18, 15, 30.000, 179.0000, -37.0000, 100.00, 4.500
1940, 8, 2, 4, 58, 48.000, 178.3000, -38.5000, 70.00, 5.000
1940, 8, 19, 18, 21, 18.000, 176.5000, -39.2000, 100.00, 4.500
1940, 8, 20, 10, 50, 0.000, 176.2000, -38.5000, 70.00, 4.500
1940, 9, 13, 17, 26, 43.000, 175.5000, -39.0000, 200.00, 3.900
1940, 10, 7, 1, 25, 39.000, 176.7000, -38.6000, 160.00, 5.130
1940, 11, 28, 14, 39, 11.000, 180.2000, -36.8000, 200.00, 5.300
1940, 11, 30, 16, 12, 52.000, 180.0000, -37.0000, 100.00, 5.300
1941, 1, 12, 3, 30, 0.000, 168.5000, -45.5000, 100.00, 4.700
1941, 3, 1, 23, 54, 52.000, 176.2000, -37.9000, 165.00, 4.400
1941, 3, 21, 23, 26, 18.000, 175.0000, -39.1000, 210.00, 4.700
