year, month, day, hour, minute, second, lon, lat, depth, mag
1460, 1, 1, 0, 0, 0.000, 174.8000, -41.4000, 25.00, 7.500
1773, 5, 11, 5, 0, 0.000, 174.0000, -41.0000, 25.00, 5.500
1792, 12, 2, 2, 0, 0.000, 167.0000, -46.0000, 25.00, 5.500
1810, 1, 1, 0, 0, 0.000, 167.0000, -45.0000, 25.00, 5.500
1815, 1, 1, 0, 0, 0.000, 174.0000, -39.0000, 25.00, 6.500
1817, 1, 1, 0, 0, 0.000, 167.0000, -46.0000, 25.00, 6.500
1826, 1, 1, 0, 0, 0.000, 167.0000, -45.0000, 25.00, 7.500
1835, 1, 1, 0, 0, 0.000, 175.0000, -37.0000, 25.00, 6.500
1835, 1, 1, 0, 0, 0.000, 178.0000, -39.0000, 25.00, 5.500
1838, 1, 1, 0, 0, 0.000, 175.1000, -39.4000, 25.00, 6.500
1838, 1, 11, 4, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1839, 7, 12, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1839, 7, 19, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1839, 8, 29, 0, 0, 0.000, 174.0000, -41.0000, 25.00, 4.500
1839, 9, 18, 0, 0, 0.000, 174.0000, -41.0000, 25.00, 4.500
1840, 2, 9, 20, 0, 0.000, 175.0000, -38.0000, 25.00, 5.500
1840, 5, 25, 17, 0, 0.000, 175.0000, -41.0000, 25.00, 6.000
1840, 5, 25, 18, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1840, 5, 28, 11, 0, 0.000, 175.0000, -38.0000, 25.00, 4.500
1840, 11, 27, 0, 0, 0.000, 175.0000, -38.0000, 25.00, 4.500
1840, 11, 30, 16, 0, 0.000, 175.0000, -38.0000, 25.00, 4.500
1841, 9, 17, 11, 5, 0.000, 174.0000, -39.0000, 25.00, 5.500
1841, 11, 29, 17, 0, 0.000, 174.0000, -39.0000, 25.00, 4.500
1842, 4, 15, 18, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1842, 5, 21, 20, 0, 0.000, 174.8000, -41.3000, 25.00, 4.500
1842, 7, 8, 20, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1842, 12, 6, 7, 10, 0.000, 175.0000, -41.0000, 25.00, 4.500
1842, 12, 6, 7, 40, 0.000, 175.0000, -41.0000, 25.00, 4.500
1843, 5, 3, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1843, 5, 16, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1843, 7, 8, 5, 30, 0.000, 176.2000, -39.6000, 25.00, 4.500
1843, 7, 8, 5, 30, 0.000, 176.2000, -39.6000, 12.00, 7.600
1843, 8, 7, 4, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1843, 12, 13, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1844, 1, 24, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 5.500
1844, 2, 26, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 5.500
1844, 3, 2, 10, 0, 0.000, 178.0000, -38.0000, 25.00, 4.500
1844, 6, 24, 0, 0, 0.000, 174.0000, -41.0000, 25.00, 5.500
1844, 9, 3, 0, 0, 0.000, 178.0000, -38.0000, 25.00, 4.500
1844, 11, 2, 9, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1844, 12, 25, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 1, 7, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 2, 26, 8, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1845, 3, 19, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 4, 18, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 5, 13, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 7, 5, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 9, 5, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1845, 9, 13, 9, 0, 0.000, 174.0000, -39.0000, 25.00, 4.500
1845, 10, 20, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 10, 21, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 11, 6, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 11, 17, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1846, 4, 8, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 5, 7, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 5.500
1846, 6, 13, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1846, 7, 4, 18, 0, 0.000, 172.0000, -42.0000, 25.00, 5.500
