lon,lat,dep,Mw,strike1,dip1,rake1,strike2,dip2,rake2
176.6596,-37.5104,207.0000,4.600,16.0000,71.0000,31.0000,275.0000,61.0000,158.0000
174.9457,-39.3274,153.0000,4.300,31.0000,78.0000,147.0000,129.0000,58.0000,15.0000
174.7723,-42.1927,48.0000,4.300,26.0000,65.0000,138.0000,137.0000,53.0000,32.0000
177.9745,-38.4034,39.0000,4.200,51.0000,56.0000,-91.0000,233.0000,34.0000,-89.0000
176.7068,-40.0081,45.0000,4.300,216.0000,55.0000,-92.0000,39.0000,35.0000,-87.0000
165.6366,-46.1201,36.0000,4.500,162.0000,71.0000,81.0000,7.0000,21.0000,114.0000
176.6936,-37.9953,135.0000,4.700,43.0000,67.0000,93.0000,215.0000,23.0000,83.0000
177.5774,-37.3897,108.0000,4.600,35.0000,72.0000,78.0000,249.0000,21.0000,122.0000
174.5981,-41.1529,68.0000,4.000,85.0000,51.0000,-57.0000,220.0000,49.0000,-123.0000
174.4505,-40.2388,90.0000,4.100,32.0000,75.0000,97.0000,185.0000,16.0000,64.0000
177.1046,-39.4480,36.0000,4.100,31.0000,82.0000,-83.0000,170.0000,11.0000,-131.0000
175.9649,-40.2959,39.0000,4.700,240.0000,53.0000,-79.0000,42.0000,38.0000,-104.0000
177.4114,-37.1399,141.0000,4.400,26.0000,72.0000,87.0000,215.0000,18.0000,98.0000
175.0892,-40.6452,45.0000,4.500,228.0000,71.0000,-78.0000,15.0000,23.0000,-121.0000
166.9213,-45.1228,24.0000,4.100,62.0000,79.0000,145.0000,160.0000,56.0000,14.0000
165.3169,-46.6061,33.0000,7.000,197.0000,53.0000,71.0000,46.0000,41.0000,113.0000
177.0535,-39.6929,33.0000,4.200,332.0000,68.0000,60.0000,210.0000,36.0000,141.0000
167.4321,-45.0570,114.0000,4.200,256.0000,59.0000,44.0000,139.0000,53.0000,140.0000
176.3954,-37.6671,219.0000,4.600,266.0000,73.0000,39.0000,163.0000,53.0000,159.0000
173.6723,-40.1788,138.0000,5.300,317.0000,86.0000,-67.0000,57.0000,23.0000,-169.0000
166.8652,-45.8777,93.0000,4.500,334.0000,59.0000,-37.0000,85.0000,59.0000,-143.0000
179.5780,-36.7272,36.0000,4.200,127.0000,84.0000,7.0000,37.0000,83.0000,174.0000
166.4011,-45.7463,30.0000,4.100,212.0000,74.0000,40.0000,109.0000,52.0000,159.0000
178.8664,-35.2066,183.0000,5.100,226.0000,54.0000,-56.0000,358.0000,47.0000,-128.0000
176.3640,-37.8975,186.0000,4.400,103.0000,87.0000,137.0000,195.0000,47.0000,4.0000
165.9877,-45.7046,24.0000,3.900,1.0000,52.0000,128.0000,129.0000,52.0000,52.0000
178.1759,-37.3316,57.0000,4.500,29.0000,70.0000,-72.0000,165.0000,27.0000,-131.0000
179.4213,-35.1586,198.0000,5.700,23.0000,67.0000,70.0000,246.0000,30.0000,129.0000
166.8971,-45.8802,81.0000,4.000,76.0000,73.0000,-151.0000,337.0000,62.0000,-19.0000
176.0417,-39.0098,102.0000,4.000,358.0000,56.0000,85.0000,187.0000,34.0000,98.0000
176.2940,-38.2078,168.0000,3.800,46.0000,50.0000,115.0000,191.0000,46.0000,64.0000
176.0543,-40.5148,30.0000,4.700,239.0000,59.0000,-77.0000,36.0000,34.0000,-110.0000
174.8616,-41.0958,42.0000,4.200,203.0000,70.0000,-97.0000,43.0000,21.0000,-71.0000
177.7490,-36.9437,96.0000,4.500,342.0000,70.0000,99.0000,137.0000,22.0000,67.0000
175.8269,-38.5764,156.0000,4.900,57.0000,87.0000,141.0000,150.0000,51.0000,4.0000
176.3814,-40.3340,33.0000,4.200,175.0000,74.0000,-82.0000,330.0000,18.0000,-114.0000
173.4244,-40.2128,225.0000,5.000,352.0000,60.0000,-124.0000,226.0000,44.0000,-46.0000
